infectee,infectors
Ant48,['SEED']
Ant229,['Ant48']
Ant296,['Ant229']
Ant158,['Ant229']
Ant26,['Ant229']
Ant70,['Ant26']
Ant62,['Ant26']
Ant172,['Ant26']
Ant38,['Ant26']
Ant149,['Ant26']
Ant12,['Ant26']
Ant564,['Ant229']
Ant560,['Ant26']
Ant20,['Ant564']
Ant17,['Ant20']
Ant301,['Ant20']
Ant198,['Ant149']
Ant102,['Ant198']
Ant580,['Ant20']
Ant112,['Ant229']
Ant673,['Ant112']
Ant81,['Ant112']
Ant6,['Ant112']
Ant4,['Ant112']
Ant194,['Ant112']
Ant127,['Ant112']
Ant334,['Ant112']
Ant482,['Ant112']
Ant324,['Ant112']
Ant650,['Ant198']
Ant53,['Ant112']
Ant380,['Ant112']
Ant43,['Ant194']
Ant68,['Ant112']
Ant176,['Ant112']
Ant15,['Ant112']
Ant540,['Ant229']
Ant501,['Ant540']
Ant111,['Ant501']
Ant250,['Ant540']
Ant308,['Ant540']
Ant159,['Ant540']
Ant599,['Ant540']
Ant260,['Ant540']
Ant621,['Ant229']
Ant256,['Ant621']
Ant397,['Ant621']
Ant556,['Ant621']
Ant298,['Ant540']
Ant299,['Ant621']
Ant190,['Ant621']
Ant0,['Ant621']
Ant59,['Ant621']
Ant207,['Ant621']
Ant196,['Ant621']
Ant347,['Ant540']
Ant2,['Ant621']
Ant238,['Ant621']
Ant458,['Ant621']
Ant126,['Ant621']
Ant638,['Ant621']
Ant255,['Ant621']
Ant251,['Ant112']
Ant30,['Ant621']
Ant492,['Ant621']
Ant118,['Ant621']
Ant244,['Ant621']
Ant76,['Ant621']
Ant391,['Ant621']
Ant13,['Ant118']
Ant592,['Ant621']
Ant395,['Ant118']
Ant342,['Ant621']
Ant632,['Ant621']
Ant96,['Ant621']
Ant7,['Ant118']
Ant186,['Ant621']
Ant117,['Ant621']
Ant394,['Ant621']
Ant51,['Ant621']
Ant278,['Ant621']
Ant105,['Ant621']
Ant97,['Ant621']
Ant220,['Ant621']
Ant109,['Ant621']
Ant289,['Ant621']
Ant614,['Ant118']
Ant534,['Ant621']
Ant9,['Ant621']
Ant35,['Ant621']
Ant242,['Ant118']
Ant54,['Ant621']
Ant57,['Ant621']
Ant72,['Ant621']
Ant663,['Ant621']
Ant215,['Ant621']
Ant131,['Ant118']
Ant398,['Ant540']
Ant115,['Ant621']
Ant509,['Ant621']
Ant74,['Ant621']
Ant169,['Ant112']
Ant210,['Ant621']
Ant137,['Ant621']
Ant243,['Ant621']
Ant32,['Ant621']
Ant44,['Ant118']
Ant206,['Ant621']
Ant19,['Ant621']
Ant475,['Ant621']
Ant518,['Ant621']
Ant52,['Ant621']
Ant191,['Ant621']
Ant23,['Ant118']
Ant175,['Ant621']
Ant607,['Ant540']
Ant329,['Ant118']
Ant538,['Ant621']
Ant264,['Ant118']
Ant218,['Ant621']
Ant50,['Ant621']
Ant610,['Ant118']
Ant124,['Ant621']
Ant178,['Ant621']
Ant71,['Ant118']
Ant390,['Ant621']
Ant1,['Ant621']
Ant476,['Ant621']
Ant219,['Ant118']
Ant221,['Ant117']
Ant604,['Ant118']
Ant576,['Ant118']
Ant227,['Ant621']
Ant954,['Ant621']
Ant331,['Ant621']
Ant27,['Ant621']
Ant65,['Ant621']
Ant252,['Ant621']
Ant245,['Ant540']
Ant60,['Ant621']
Ant740,['Ant621']
