infectee,infectors
Ant387,['SEED']
Ant38,['Ant387']
Ant117,"['Ant38', 'Ant387']"
Ant42,"['Ant117', 'Ant38', 'Ant387']"
Ant44,"['Ant117', 'Ant38', 'Ant387', 'Ant42']"
Ant593,"['Ant117', 'Ant38', 'Ant387', 'Ant42', 'Ant44']"
Ant55,"['Ant117', 'Ant38', 'Ant387', 'Ant42', 'Ant44']"
Ant219,['Ant117']
Ant26,"['Ant117', 'Ant55', 'Ant593', 'Ant38', 'Ant387', 'Ant42', 'Ant44']"
Ant380,"['Ant117', 'Ant55', 'Ant387', 'Ant42', 'Ant26', 'Ant44']"
Ant176,"['Ant117', 'Ant55', 'Ant593', 'Ant38', 'Ant387', 'Ant380', 'Ant42', 'Ant26', 'Ant44']"
Ant4,"['Ant176', 'Ant117', 'Ant55', 'Ant593', 'Ant387', 'Ant380', 'Ant219', 'Ant42', 'Ant44']"
Ant294,"['Ant176', 'Ant38', 'Ant593', 'Ant26']"
Ant215,"['Ant176', 'Ant4', 'Ant117', 'Ant593', 'Ant38', 'Ant387', 'Ant219', 'Ant380', 'Ant42', 'Ant26', 'Ant44']"
Ant347,"['Ant176', 'Ant4', 'Ant117', 'Ant55', 'Ant593', 'Ant38', 'Ant294', 'Ant42', 'Ant26', 'Ant44']"
Ant109,"['Ant176', 'Ant4', 'Ant117', 'Ant347', 'Ant55', 'Ant38', 'Ant387', 'Ant380', 'Ant42', 'Ant26', 'Ant44']"
Ant621,"['Ant176', 'Ant4', 'Ant117', 'Ant55', 'Ant593', 'Ant38', 'Ant387', 'Ant109', 'Ant42', 'Ant26', 'Ant44']"
Ant173,"['Ant176', 'Ant4', 'Ant117', 'Ant593', 'Ant387', 'Ant380', 'Ant219', 'Ant42', 'Ant44']"
Ant29,"['Ant621', 'Ant173', 'Ant176', 'Ant4', 'Ant117', 'Ant347', 'Ant55', 'Ant593', 'Ant387', 'Ant215', 'Ant380', 'Ant109', 'Ant219', 'Ant42', 'Ant26', 'Ant44']"
Ant63,"['Ant621', 'Ant176', 'Ant4', 'Ant117', 'Ant347', 'Ant55', 'Ant38', 'Ant387', 'Ant215', 'Ant380', 'Ant109', 'Ant42', 'Ant26', 'Ant44', 'Ant29']"
Ant139,"['Ant173', 'Ant176', 'Ant219', 'Ant4', 'Ant117', 'Ant347', 'Ant593', 'Ant387', 'Ant215', 'Ant380', 'Ant109', 'Ant42', 'Ant26', 'Ant63', 'Ant29']"
Ant207,"['Ant621', 'Ant173', 'Ant176', 'Ant139', 'Ant219', 'Ant4', 'Ant117', 'Ant55', 'Ant593', 'Ant38', 'Ant387', 'Ant215', 'Ant380', 'Ant42', 'Ant44', 'Ant63', 'Ant29']"
Ant76,"['Ant621', 'Ant176', 'Ant207', 'Ant117', 'Ant347', 'Ant55', 'Ant294', 'Ant593', 'Ant38', 'Ant387', 'Ant219', 'Ant109', 'Ant42', 'Ant26', 'Ant44', 'Ant63', 'Ant29']"
Ant540,"['Ant173', 'Ant207', 'Ant219', 'Ant4', 'Ant117', 'Ant55', 'Ant593', 'Ant387', 'Ant215', 'Ant380', 'Ant42', 'Ant44', 'Ant29']"
Ant0,"['Ant173', 'Ant139', 'Ant207', 'Ant540', 'Ant4', 'Ant117', 'Ant219', 'Ant347', 'Ant387', 'Ant215', 'Ant380', 'Ant109', 'Ant26', 'Ant44', 'Ant29']"
Ant32,"['Ant621', 'Ant176', 'Ant207', 'Ant117', 'Ant0', 'Ant347', 'Ant55', 'Ant294', 'Ant593', 'Ant38', 'Ant76', 'Ant109', 'Ant42', 'Ant26', 'Ant44', 'Ant63', 'Ant29']"
Ant482,"['Ant621', 'Ant173', 'Ant176', 'Ant139', 'Ant207', 'Ant540', 'Ant4', 'Ant117', 'Ant0', 'Ant593', 'Ant387', 'Ant215', 'Ant380', 'Ant109', 'Ant42', 'Ant44', 'Ant63', 'Ant29']"
Ant390,"['Ant482', 'Ant173', 'Ant176', 'Ant139', 'Ant207', 'Ant540', 'Ant4', 'Ant117', 'Ant0', 'Ant347', 'Ant387', 'Ant215', 'Ant380', 'Ant109', 'Ant44', 'Ant63', 'Ant29']"
Ant153,"['Ant482', 'Ant621', 'Ant173', 'Ant390', 'Ant176', 'Ant139', 'Ant207', 'Ant219', 'Ant117', 'Ant0', 'Ant55', 'Ant347', 'Ant593', 'Ant38', 'Ant32', 'Ant387', 'Ant76', 'Ant215', 'Ant380', 'Ant109', 'Ant42', 'Ant44', 'Ant63', 'Ant29']"
Ant518,"['Ant482', 'Ant621', 'Ant153', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant4', 'Ant117', 'Ant0', 'Ant347', 'Ant55', 'Ant294', 'Ant593', 'Ant38', 'Ant32', 'Ant387', 'Ant76', 'Ant219', 'Ant215', 'Ant109', 'Ant42', 'Ant26', 'Ant44', 'Ant63', 'Ant29']"
Ant218,"['Ant482', 'Ant153', 'Ant173', 'Ant176', 'Ant139', 'Ant207', 'Ant540', 'Ant4', 'Ant117', 'Ant347', 'Ant55', 'Ant593', 'Ant38', 'Ant32', 'Ant387', 'Ant76', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant42', 'Ant26', 'Ant44', 'Ant63', 'Ant29']"
Ant242,"['Ant482', 'Ant621', 'Ant173', 'Ant176', 'Ant139', 'Ant390', 'Ant540', 'Ant4', 'Ant117', 'Ant219', 'Ant0', 'Ant347', 'Ant593', 'Ant38', 'Ant387', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant218', 'Ant42', 'Ant44', 'Ant29']"
Ant538,"['Ant482', 'Ant621', 'Ant153', 'Ant173', 'Ant176', 'Ant139', 'Ant207', 'Ant540', 'Ant4', 'Ant117', 'Ant242', 'Ant0', 'Ant55', 'Ant593', 'Ant38', 'Ant387', 'Ant76', 'Ant219', 'Ant518', 'Ant215', 'Ant380', 'Ant218', 'Ant42', 'Ant44', 'Ant63', 'Ant29']"
Ant23,"['Ant482', 'Ant621', 'Ant153', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant4', 'Ant117', 'Ant347', 'Ant55', 'Ant294', 'Ant593', 'Ant38', 'Ant32', 'Ant387', 'Ant76', 'Ant538', 'Ant518', 'Ant215', 'Ant109', 'Ant218', 'Ant42', 'Ant26', 'Ant44', 'Ant63', 'Ant29']"
Ant564,"['Ant482', 'Ant621', 'Ant153', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant540', 'Ant117', 'Ant0', 'Ant55', 'Ant347', 'Ant76', 'Ant593', 'Ant38', 'Ant32', 'Ant294', 'Ant538', 'Ant518', 'Ant387', 'Ant380', 'Ant109', 'Ant218', 'Ant42', 'Ant26', 'Ant44', 'Ant23', 'Ant63']"
Ant156,"['Ant482', 'Ant153', 'Ant173', 'Ant390', 'Ant139', 'Ant207', 'Ant219', 'Ant564', 'Ant540', 'Ant4', 'Ant242', 'Ant0', 'Ant55', 'Ant387', 'Ant538', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant26', 'Ant44', 'Ant63', 'Ant29']"
Ant127,"['Ant482', 'Ant621', 'Ant153', 'Ant156', 'Ant173', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant564', 'Ant540', 'Ant117', 'Ant242', 'Ant0', 'Ant347', 'Ant55', 'Ant593', 'Ant38', 'Ant387', 'Ant76', 'Ant538', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant218', 'Ant219', 'Ant42', 'Ant44', 'Ant23', 'Ant63', 'Ant29']"
Ant64,"['Ant482', 'Ant621', 'Ant153', 'Ant156', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant564', 'Ant540', 'Ant4', 'Ant117', 'Ant242', 'Ant0', 'Ant347', 'Ant55', 'Ant38', 'Ant32', 'Ant127', 'Ant76', 'Ant538', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant219', 'Ant42', 'Ant26', 'Ant44', 'Ant23', 'Ant63', 'Ant29']"
Ant394,"['Ant482', 'Ant621', 'Ant153', 'Ant156', 'Ant173', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant564', 'Ant540', 'Ant4', 'Ant117', 'Ant242', 'Ant0', 'Ant347', 'Ant55', 'Ant593', 'Ant38', 'Ant32', 'Ant127', 'Ant387', 'Ant76', 'Ant538', 'Ant518', 'Ant380', 'Ant109', 'Ant218', 'Ant42', 'Ant26', 'Ant44', 'Ant23', 'Ant63', 'Ant64', 'Ant29']"
Ant400,"['Ant482', 'Ant621', 'Ant153', 'Ant176', 'Ant207', 'Ant390', 'Ant564', 'Ant540', 'Ant4', 'Ant117', 'Ant242', 'Ant347', 'Ant55', 'Ant294', 'Ant593', 'Ant38', 'Ant32', 'Ant127', 'Ant387', 'Ant76', 'Ant538', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant394', 'Ant218', 'Ant42', 'Ant26', 'Ant44', 'Ant23', 'Ant63', 'Ant64', 'Ant29']"
Ant19,"['Ant482', 'Ant621', 'Ant153', 'Ant156', 'Ant173', 'Ant176', 'Ant207', 'Ant390', 'Ant564', 'Ant117', 'Ant242', 'Ant347', 'Ant55', 'Ant294', 'Ant593', 'Ant38', 'Ant219', 'Ant32', 'Ant387', 'Ant76', 'Ant538', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant394', 'Ant218', 'Ant127', 'Ant42', 'Ant26', 'Ant400', 'Ant44', 'Ant23', 'Ant63', 'Ant64', 'Ant29']"
Ant97,"['Ant482', 'Ant621', 'Ant153', 'Ant156', 'Ant176', 'Ant139', 'Ant207', 'Ant390', 'Ant564', 'Ant540', 'Ant4', 'Ant117', 'Ant242', 'Ant347', 'Ant55', 'Ant593', 'Ant38', 'Ant19', 'Ant127', 'Ant387', 'Ant76', 'Ant538', 'Ant518', 'Ant215', 'Ant380', 'Ant109', 'Ant394', 'Ant218', 'Ant42', 'Ant26', 'Ant400', 'Ant44', 'Ant23', 'Ant63', 'Ant64', 'Ant29']"
