t,S,I
0.0,26,1
26.791871343701267,25,2
31.017463542706626,24,3
40.450860379581,23,4
53.87311667552843,22,5
58.49672601900687,21,6
58.621313124888886,20,7
58.89537928245345,19,8
59.54580705147858,18,9
59.67913901061841,17,10
59.79896895119415,16,11
60.22159429561429,15,12
60.244100085140985,14,13
60.711428199825356,13,14
60.72828255815668,12,15
61.1464899215854,11,16
61.33160460473699,10,17
61.47980296916388,9,18
61.51236451293185,8,19
61.63405482134065,7,20
61.66923689457274,6,21
61.70161417610022,5,22
62.46516916752897,4,23
62.66845275955422,3,24
62.99482698555028,2,25
63.66851119314736,1,26
64.3488311796993,0,27
