t,S,I
0.0,21,1
2.1529759027617055,20,2
2.4194004434579406,19,3
2.6683590780395408,18,4
2.881056173033112,17,5
2.981090196259299,16,6
3.1619678982335673,15,7
3.466669601371758,14,8
3.6236249532396045,13,9
3.6643584620334644,12,10
3.9019931142650925,11,11
3.934442771923341,10,12
4.879500796626991,9,13
5.139628864996631,8,14
5.348792107457476,7,15
6.353513171075959,6,16
8.139815488499103,5,17
8.424324753075396,4,18
9.383437921864376,3,19
14.155699538565425,2,20
22.65675053331353,1,21
24.500987883658432,0,22
