network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex
Network_1004_full,by,3,0.14330358895168235,0.0,3,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,bz,5,0.21077802873581084,0.013186813186813187,5,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,dv,11,0.39298049272616037,0.14835164835164835,5,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,gv,5,0.21464672661413065,0.009157509157509158,4,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,il,9,0.3290277360090992,0.10036630036630037,5,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,ks,6,0.2148215080326631,0.031318681318681325,5,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,mw,8,0.31561519678181355,0.04322344322344322,5,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,oh,9,0.3191002224469461,0.09047619047619047,5,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,oo,5,0.20933351627470442,0.013736263736263734,5,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,qa,7,0.3025193248027319,0.02326007326007326,5,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,qr,5,0.20064588792735877,0.02417582417582418,4,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,sq,3,0.10890329501875537,0.009157509157509158,3,15,48,0.45714285714285713,0.0024021451986611098,M
Network_1004_full,vd,5,0.1749926358993324,0.039194139194139194,4,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,xt,8,0.3003211859176203,0.06007326007326008,5,15,48,0.45714285714285713,0.0024021451986611098,F
Network_1004_full,zb,7,0.2653525636794309,0.042673992673992675,5,15,48,0.45714285714285713,0.0024021451986611098,F
