network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex
Network_1004_strong,by,1,0.11082367646014782,0.0,1,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,bz,4,0.3346076996129424,0.09597069597069596,3,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,dv,5,0.38346167004326037,0.24542124542124544,3,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,gv,2,0.07807365982777187,0.00989010989010989,2,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,il,3,0.14547254154161524,0.12344322344322345,2,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,ks,3,0.24929030717407352,0.024725274725274728,3,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,mw,2,0.13879036987103924,0.01098901098901099,2,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,oh,5,0.3784824988217427,0.26831501831501836,3,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,oo,4,0.31748052535328447,0.12490842490842491,3,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,qa,3,0.2586127914370442,0.06849816849816849,2,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,qr,3,0.2726174917990516,0.04542124542124542,3,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,sq,2,0.07807365982777169,0.00989010989010989,2,15,24,0.22857142857142856,0.18024645765928227,M
Network_1004_strong,vd,3,0.14413021273280613,0.1380952380952381,2,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,xt,5,0.41108412251297655,0.20769230769230773,3,15,24,0.22857142857142856,0.18024645765928227,F
Network_1004_strong,zb,3,0.19734193167109026,0.044322344322344324,2,15,24,0.22857142857142856,0.18024645765928227,F
