t,S,I,R,run_id
0.0,14,1,0,1
4.167899252724136,13,2,0,1
4.2744229410034515,12,3,0,1
4.40143096405038,12,2,1,1
6.897323799879423,11,3,1,1
8.988556162216174,10,4,1,1
9.170702491603986,9,5,1,1
10.487796236487496,8,6,1,1
12.937804997337599,7,7,1,1
15.722515670430065,6,8,1,1
16.625404760342295,6,7,2,1
17.035169862282885,6,6,3,1
17.323211847183078,6,5,4,1
18.153537504257315,6,4,5,1
18.38339693335553,5,5,5,1
19.283678283402075,5,4,6,1
19.844053026561998,5,3,7,1
20.66432048854345,5,2,8,1
28.676365401619847,5,1,9,1
33.34526404222665,5,0,10,1
0.0,14,1,0,2
2.0780529644796,13,2,0,2
2.8826868939912913,12,3,0,2
3.2277195210701635,12,2,1,2
3.9568956710335694,11,3,1,2
4.200613213110745,11,2,2,2
8.675337850215376,11,1,3,2
13.05917286842397,11,0,4,2
