t,S,I,R,run_id
0.0,14,1,0,1
0.3657501190663919,13,2,0,1
0.6562681228317164,12,3,0,1
0.7662624461944005,11,4,0,1
0.8835876968772446,10,5,0,1
0.8841780360903063,10,4,1,1
0.970669113696178,9,5,1,1
0.9748801056742976,8,6,1,1
0.9770912758752186,7,7,1,1
0.9888709736281004,6,8,1,1
1.0168384646701831,6,7,2,1
1.0941839840004959,5,8,2,1
1.100703295694258,4,9,2,1
1.251269255682519,3,10,2,1
1.2673358715889933,2,11,2,1
1.360981313783409,2,10,3,1
1.5041751105692849,2,9,4,1
1.6039475620869734,1,10,4,1
1.68973289279845,1,9,5,1
2.08528622236058,0,10,5,1
4.070656174028203,0,9,6,1
4.203195004124713,0,8,7,1
4.358493202257523,0,7,8,1
6.964746900213212,0,6,9,1
7.706856071318889,0,5,10,1
10.352769378208812,0,4,11,1
10.803395387632158,0,3,12,1
12.909660149888634,0,2,13,1
18.12719119419051,0,1,14,1
45.35988415634251,0,0,15,1
0.0,14,1,0,2
0.7453560845950764,13,2,0,2
0.9489880972952918,12,3,0,2
1.0130888127038007,11,4,0,2
1.0468062584893625,10,5,0,2
1.2935605544784918,9,6,0,2
1.3718144110481945,8,7,0,2
1.5900830180278998,7,8,0,2
1.6662481812262917,6,9,0,2
1.7042378762555752,5,10,0,2
1.9777061286484097,4,11,0,2
1.9906256393185897,4,10,1,2
2.184301579144292,4,9,2,2
2.5648145775913775,3,10,2,2
2.7546130367655306,2,11,2,2
2.761804531734846,1,12,2,2
2.8475502797131713,1,11,3,2
3.4293369103164553,1,10,4,2
3.7636990517957125,1,9,5,2
4.624295202469941,1,8,6,2
6.18336972864686,1,7,7,2
6.498686364793106,1,6,8,2
8.678822096588036,1,5,9,2
9.90909139774569,1,4,10,2
11.835154369425922,1,3,11,2
17.966507171482146,1,2,12,2
19.08081931305756,1,1,13,2
21.631515671194126,1,0,14,2
