t,S,I,R
0.0,112,1,0
0.03235275204480501,111,2,0
0.04262670713081241,110,3,0
0.042944428282933385,109,4,0
0.04659821450404805,108,5,0
0.06267317221789838,107,6,0
0.08788586621064547,106,7,0
0.08981816913375829,105,8,0
0.0924375480183795,104,9,0
0.0995616218256873,103,10,0
0.11184203979509053,102,11,0
0.11291205252780845,101,12,0
0.1163436086000368,100,13,0
0.12019874488643091,99,14,0
0.12222476754766795,98,15,0
0.12352987982597266,97,16,0
0.1329516538671872,96,17,0
0.13441164720761667,95,18,0
0.1384492528626679,94,19,0
0.1393715994946063,93,20,0
0.14797980048809878,92,21,0
0.15818603516382726,91,22,0
0.1589677388191424,90,23,0
0.159586155069406,89,24,0
0.16339062454744704,89,23,1
0.16361652434424687,88,24,1
0.16682436717055532,87,25,1
0.16784206912176233,86,26,1
0.17898779252553815,85,27,1
0.18062308067741956,84,28,1
0.1840388813755796,83,29,1
0.18753454585039095,82,30,1
0.1903977225742687,81,31,1
0.19152906149643797,80,32,1
0.19687829725249395,79,33,1
0.2062190866713869,78,34,1
0.20712967700929577,77,35,1
0.2100221847387017,76,36,1
0.21097066683030696,75,37,1
0.2162050461805796,74,38,1
0.21678268764114628,73,39,1
0.2218517604407538,72,40,1
0.2229616155475063,71,41,1
0.22527997067312724,70,42,1
0.22629266324639935,69,43,1
0.22995984984449044,69,42,2
0.23029161100227233,68,43,2
0.23071004545346765,67,44,2
0.2314999709872355,66,45,2
0.23601222224135668,65,46,2
0.23755355412875165,64,47,2
0.2389275639040539,63,48,2
0.23963872829879088,62,49,2
0.2403365088214965,61,50,2
0.25000583885910943,60,51,2
0.25518971593749273,59,52,2
0.2564592351027827,58,53,2
0.2567938307444555,57,54,2
0.26111425400097843,56,55,2
0.26254828040760925,55,56,2
0.26552675028864475,55,55,3
0.26719135099201285,54,56,3
0.2673569793663133,53,57,3
0.26876459086454696,53,56,4
0.27048234163472956,52,57,4
0.2755353970107682,51,58,4
0.27597442380492443,50,59,4
0.2767170550515322,49,60,4
0.2852622723419199,48,61,4
0.28562168346562744,47,62,4
0.28667915509617375,46,63,4
0.2877792806986865,45,64,4
0.2878005565808898,44,65,4
0.28893682222860534,43,66,4
0.29159029682296783,42,67,4
0.29216985777219107,41,68,4
0.29314745808631104,40,69,4
0.29630766793166985,39,70,4
0.2995554023587922,38,71,4
0.3036870333413733,37,72,4
0.3045523741739715,36,73,4
0.3087259167598446,35,74,4
0.312429080461841,34,75,4
0.3129368040245021,33,76,4
0.3138271989846551,32,77,4
0.3178588890680408,31,78,4
0.32041312172517866,30,79,4
0.32156982289682995,29,80,4
0.32810280394274316,28,81,4
0.3304883009720984,27,82,4
0.33361750643272786,27,81,5
0.3380192360915554,27,80,6
0.34021955087523953,26,81,6
0.3418702780982028,26,80,7
0.3503055516033435,25,81,7
0.35276316779649586,24,82,7
0.3538492875804473,23,83,7
0.35538842678792093,22,84,7
0.3630873860424677,21,85,7
0.3644903311286912,20,86,7
0.3686230067416936,20,85,8
0.3716639817042232,20,84,9
0.37245542032240314,19,85,9
0.3785505741354976,19,84,10
0.37940429111176854,18,85,10
0.38141965972115394,17,86,10
0.38362973780093623,17,85,11
0.39550836086797747,16,86,11
0.4028891614652478,15,87,11
0.4032558431235431,14,88,11
0.4084665328449194,13,89,11
0.4180350677879286,12,90,11
0.4201497745403805,12,89,12
0.4202787059933188,11,90,12
0.4230295554153392,11,89,13
0.4265126883171479,10,90,13
0.4324569332867268,10,89,14
0.4332116224648952,9,90,14
0.4405774771351048,8,91,14
0.4463431506442179,7,92,14
0.44712883272231485,6,93,14
0.4506310645498348,6,92,15
0.4631894027681335,5,93,15
0.4758222917278337,5,92,16
0.4879972642885686,4,93,16
0.49220168343463566,3,94,16
0.49602672867890596,3,93,17
0.5050668506845774,2,94,17
0.508539176170035,2,93,18
0.5457613615444671,2,92,19
0.5521415703809303,1,93,19
0.5729210426075957,1,92,20
0.6054866790637595,1,91,21
0.6112799889373118,1,90,22
0.6323812339272301,1,89,23
0.6365394773403079,1,88,24
0.6430607580291997,0,89,24
0.6661692172670833,0,88,25
0.6775085418984939,0,87,26
0.7162157935907816,0,86,27
0.7550676591197306,0,85,28
0.7572298080756406,0,84,29
0.7796038198643394,0,83,30
0.8064275751612329,0,82,31
0.8129181606427427,0,81,32
0.8389086226639572,0,80,33
0.8450114399704215,0,79,34
0.846872442947334,0,78,35
0.8514878414252224,0,77,36
0.8525926929542661,0,76,37
0.9556937698287178,0,75,38
0.9699675106883647,0,74,39
0.9771562394737857,0,73,40
0.9840385064072825,0,72,41
0.9913174737303251,0,71,42
1.0425864288970657,0,70,43
1.0820979587456314,0,69,44
1.1033391638771433,0,68,45
1.1127713547718165,0,67,46
1.1158803875971308,0,66,47
1.1314823870796022,0,65,48
1.1410501961782245,0,64,49
1.148255684060354,0,63,50
1.156212222891319,0,62,51
1.1700623266044083,0,61,52
1.1731928499155841,0,60,53
1.2186827243445413,0,59,54
1.2752935085973596,0,58,55
1.3209067782416113,0,57,56
1.3420722087965706,0,56,57
1.352798946235322,0,55,58
1.3628059282014995,0,54,59
1.3628672900488519,0,53,60
1.4263837692650476,0,52,61
1.4405741815019586,0,51,62
1.542791429219,0,50,63
1.5844969018921167,0,49,64
1.5888908289752943,0,48,65
1.5910547455474238,0,47,66
1.6000064952434108,0,46,67
1.6166274811802823,0,45,68
1.6349789350739599,0,44,69
1.6804802377713368,0,43,70
1.7104707755719308,0,42,71
1.7232888671118922,0,41,72
1.8020216004224052,0,40,73
1.8440950640006566,0,39,74
1.9245287197328425,0,38,75
1.9795159455361746,0,37,76
2.079990866064486,0,36,77
2.1013407742688996,0,35,78
