network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex
Network_1002,by,15,0.25369804717763766,0.001360544217687075,14,16,118,0.9833333333333333,0.0,M
Network_1002,bz,15,0.2536980471776375,0.001360544217687075,14,16,118,0.9833333333333333,0.0,M
Network_1002,dc,14,0.23856215662749156,0.0006802721088435375,14,16,118,0.9833333333333333,0.0,M
Network_1002,dv,15,0.2536980471776375,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
Network_1002,gv,15,0.25369804717763755,0.001360544217687075,14,16,118,0.9833333333333333,0.0,M
Network_1002,il,15,0.2536980471776376,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
Network_1002,ks,14,0.2385621566274914,0.0006802721088435375,14,16,118,0.9833333333333333,0.0,F
Network_1002,mw,15,0.25369804717763744,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
Network_1002,oh,15,0.2536980471776375,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
Network_1002,oo,14,0.23856215662749125,0.0006802721088435375,14,16,118,0.9833333333333333,0.0,M
Network_1002,qa,15,0.2536980471776374,0.001360544217687075,14,16,118,0.9833333333333333,0.0,M
Network_1002,qr,15,0.2536980471776376,0.001360544217687075,14,16,118,0.9833333333333333,0.0,M
Network_1002,sq,14,0.23856215662749142,0.0006802721088435375,14,16,118,0.9833333333333333,0.0,M
Network_1002,vd,15,0.2536980471776374,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
Network_1002,xt,15,0.2536980471776373,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
Network_1002,zb,15,0.25369804717763755,0.001360544217687075,14,16,118,0.9833333333333333,0.0,F
