network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,weight,svl
Network_1019,BGS-0425,7,5.331716030544518e-09,2.1584936820825263e-07,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,45.0,39.0
Network_1019,BGS-1,5,2.1547692450612118e-08,0.0,5,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-10,5,4.65321746729101e-05,0.00017396229235232648,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,66.5,45.0
Network_1019,BGS-1000,23,6.052036410793663e-10,0.0002249391846902255,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,4.966666667,19.2
Network_1019,BGS-1001,21,6.125758349171894e-10,0.00024937759107963696,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,4.65,19.55
Network_1019,BGS-1002,10,5.542270963691463e-10,1.4313524060541556e-05,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,5.7,20.5
Network_1019,BGS-1003,12,3.067410890346309e-09,0.001327273230987497,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,7.4,21.05
Network_1019,BGS-1004,24,1.0345569440272723e-09,0.0005891456349689431,10,3228,17816,0.0034206426645685085,0.8464375422782009,M,8.0,37.55
Network_1019,BGS-1005,9,5.390959936701213e-10,1.732781643499967e-06,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,5.6,20.0
Network_1019,BGS-1006,12,1.1300614096835936e-08,0.0029118066453526184,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.85,21.7
Network_1019,BGS-1007,12,1.4347586164928759e-08,0.0010804744702295345,9,3228,17816,0.0034206426645685085,0.8464375422782009,M,10.2,24.46666667
Network_1019,BGS-1008,11,3.6966922418000542e-09,2.7507801859996255e-06,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,4.8,20.5
Network_1019,BGS-1009,17,8.890808903577474e-08,0.025167019700961853,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,26.375,30.325
Network_1019,BGS-1010,27,4.12363248403219e-09,0.004384113166084807,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,7.9,22.33333333
Network_1019,BGS-1011,14,3.7057617625563763e-09,0.002799803918430574,10,3228,17816,0.0034206426645685085,0.8464375422782009,M,8.05,22.5
Network_1019,BGS-1012,6,6.241658489032641e-10,4.089536580282352e-06,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,5.7,21.0
Network_1019,BGS-1013,6,6.241658505435699e-10,4.089536580282352e-06,6,3228,17816,0.0034206426645685085,0.8464375422782009,M,5.7,40.5
Network_1019,BGS-1014,6,6.241658480703853e-10,4.089536580282352e-06,6,3228,17816,0.0034206426645685085,0.8464375422782009,M,5.0,19.3
Network_1019,BGS-1015,19,1.4170848193211059e-08,0.002902618361430034,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.333333333,22.2
Network_1019,BGS-1016,17,5.900089555124404e-09,0.0011683724350680625,10,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.4,22.175
Network_1019,BGS-1017,3,2.1722768965421847e-07,0.0005223671705201252,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,8.6,22.8
Network_1019,BGS-1018,17,4.419238742915369e-18,0.0004966555778738845,6,3228,17816,0.0034206426645685085,0.8464375422782009,M,28.25,37.075
Network_1019,BGS-1019,10,3.754982280313428e-18,3.4395815853102793e-06,7,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.3,19.0
Network_1019,BGS-1021,6,1.0907804634398617e-10,0.0057935591380308266,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,21.75,31.2
Network_1019,BGS-1022,3,1.1258632153088697e-12,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.4,20.2
Network_1019,BGS-1023,22,6.702491273896622e-10,0.00020584707579722637,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,5.8,20.1
Network_1019,BGS-1024,22,6.272124339400344e-09,0.0013487825193138517,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,7.8,22.0
Network_1019,BGS-1025,11,2.6144224869177404e-11,0.0006521048343484376,7,3228,17816,0.0034206426645685085,0.8464375422782009,F,42.95,38.85
Network_1019,BGS-1026,14,2.4505877848647886e-10,7.419959692593295e-06,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,4.5,19.0
Network_1019,BGS-1027,21,5.024223145886834e-10,0.00013034743573935582,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,9.1,21.65
Network_1019,BGS-1028,21,3.8867605490795455e-10,0.0014632555057332145,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,6.5,20.675
Network_1019,BGS-1029,1,4.160282637406021e-12,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.6,21.0
Network_1019,BGS-1031,12,1.2521472108795116e-09,3.8301562989803626e-05,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,8.45,22.7
Network_1019,BGS-1032,17,0.000333363728893948,0.04086153985219208,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,38.55,31.2
Network_1019,BGS-1033,8,1.0154644270282453e-05,1.3144031108159312e-05,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,4.5,18.5
Network_1019,BGS-1034,2,1.9987338202157254e-18,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.7,19.7
Network_1019,BGS-1035,8,1.015464427028289e-05,1.3144031108159312e-05,6,3228,17816,0.0034206426645685085,0.8464375422782009,F,4.5,19.5
Network_1019,BGS-1036,1,-1.1533486125511326e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,11.8,26.5
Network_1019,BGS-1038,11,3.2562242202682075e-05,9.935752531295347e-05,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,6.1,19.3
Network_1019,BGS-1039,11,3.256224220268255e-05,9.935752531295347e-05,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,5.7,18.5
Network_1019,BGS-1040,8,2.3376139354098906e-05,0.00010449977200321009,7,3228,17816,0.0034206426645685085,0.8464375422782009,M,7.5,19.7
