network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,age,rearing
Network_1027,ID15,9,0.2709851312158364,0.010125588697017268,7,15,68,0.6476190476190476,0.156086002496802,Male,20,Parent
Network_1027,ID18,9,0.2600374682890249,0.018328100470957613,7,15,68,0.6476190476190476,0.156086002496802,Female,53,Parent
Network_1027,ID19,11,0.3124886911295662,0.02853218210361068,7,15,68,0.6476190476190476,0.156086002496802,Male,24,Parent
Network_1027,ID35,12,0.3159429793411247,0.05775771847200419,7,15,68,0.6476190476190476,0.156086002496802,Female,9,Parent
Network_1027,ID40,5,0.1372613496528867,0.008084772370486657,5,15,68,0.6476190476190476,0.156086002496802,Male,17,Other
Network_1027,ID45,9,0.2591398889637437,0.024188906331763477,7,15,68,0.6476190476190476,0.156086002496802,Female,20,Other
Network_1027,ID47,10,0.2677216068781871,0.04935897435897437,7,15,68,0.6476190476190476,0.156086002496802,Female,18,Parent
Network_1027,ID50,9,0.2648615135888857,0.015240711669283098,7,15,68,0.6476190476190476,0.156086002496802,Female,18,Parent
Network_1027,ID56,6,0.17113304242683977,0.006344845630559916,6,15,68,0.6476190476190476,0.156086002496802,Male,12,Parent
Network_1027,ID62,11,0.3125679817349052,0.02944793301936159,7,15,68,0.6476190476190476,0.156086002496802,Male,9,Parent
Network_1027,ID75,6,0.17030168354115868,0.008542647828362114,6,15,68,0.6476190476190476,0.156086002496802,Female,7,Parent
Network_1027,ID76,11,0.30155915697143426,0.03852694924123496,7,15,68,0.6476190476190476,0.156086002496802,Female,36,Parent
Network_1027,ID77,10,0.2822274064622234,0.026478283621140766,7,15,68,0.6476190476190476,0.156086002496802,Female,28,Parent
Network_1027,ID81,8,0.2005158836733237,0.034353741496598644,6,15,68,0.6476190476190476,0.156086002496802,Female,12,Parent
Network_1027,ID82,10,0.25859815657925056,0.05128205128205129,6,15,68,0.6476190476190476,0.156086002496802,Female,7,Parent
