network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,age.class,group
Network_260,DIL,1,0.15343191561629893,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,8
Network_260,458,1,-4.2168250314046504e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,5,21
Network_260,815,1,2.135045485146554e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,6,22
Network_260,243,1,8.809408659075617e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,5,24
Network_260,217,1,0.08758416765005655,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,15
Network_260,KAV,3,-2.407314391110565e-16,0.000782472613458529,2,73,60,0.0228310502283105,0.8502777777777778,3,13
Network_260,178,1,1.7350716165891085e-15,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,24
Network_260,218,1,3.3430777788184666e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,20
Network_260,36,1,-6.960506175849376e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,17
Network_260,104,1,0.09587455525536145,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,9
Network_260,117,2,0.1319916574492322,0.007042253521126761,1,73,60,0.0228310502283105,0.8502777777777778,5,17
Network_260,259,2,0.10022895804793544,0.007042253521126761,1,73,60,0.0228310502283105,0.8502777777777778,3,24
Network_260,65,4,0.2864468289680636,0.009194053208137716,2,73,60,0.0228310502283105,0.8502777777777778,5,14
Network_260,134,5,0.458412407481042,0.0418622848200313,2,73,60,0.0228310502283105,0.8502777777777778,4,15
Network_260,278,1,2.2005145521757883e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,22
Network_260,BAR,1,-4.288612617797938e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,12
Network_260,NAY,1,0.04417797711691208,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,3
Network_260,173,1,4.196497110215758e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,17
Network_260,85,1,-1.222612908580067e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,11
Network_260,24,1,3.688579934984393e-18,0.0,1,73,60,0.0228310502283105,0.8502777777777778,6,28
Network_260,RIN,6,4.628658324651601e-15,0.030125195618153366,1,73,60,0.0228310502283105,0.8502777777777778,3,20
Network_260,830,1,7.985978062510091e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,6,16
Network_260,251,2,4.2976194314565223e-17,0.0003912363067292645,1,73,60,0.0228310502283105,0.8502777777777778,1,2
Network_260,VIS,2,2.1614587032486543e-15,0.012910798122065728,1,73,60,0.0228310502283105,0.8502777777777778,4,25
Network_260,AMA,2,1.2836032948037198e-15,0.005086071987480439,1,73,60,0.0228310502283105,0.8502777777777778,2,20
Network_260,877,2,1.0054017205453875e-15,0.009389671361502348,1,73,60,0.0228310502283105,0.8502777777777778,6,22
Network_260,RAM,1,1.1512763222986142e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,5,20
Network_260,859,1,5.203365700293265e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,20
Network_260,40,1,2.9265116228272216e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,25
Network_260,41,2,-7.22747388857802e-18,0.0011737089201877935,1,73,60,0.0228310502283105,0.8502777777777778,1,21
Network_260,429,3,0.15104769106232424,0.013693270735524257,1,73,60,0.0228310502283105,0.8502777777777778,3,15
Network_260,808,2,1.9730317647655495e-15,0.005086071987480439,1,73,60,0.0228310502283105,0.8502777777777778,6,23
Network_260,186,3,2.7306121892277328e-15,0.013693270735524257,1,73,60,0.0228310502283105,0.8502777777777778,1,18
