network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity
Network_283,0,3,0.08649426031241461,0.12236842105263157,2,21,30,0.14285714285714285,0.411764705882353
Network_283,1,2,0.05998242989943647,0.037719298245614034,2,21,30,0.14285714285714285,0.411764705882353
Network_283,2,7,0.4015663065590632,0.33245614035087717,2,21,30,0.14285714285714285,0.411764705882353
Network_283,3,3,0.2160059515519248,0.16008771929824558,2,21,30,0.14285714285714285,0.411764705882353
Network_283,4,3,0.2266573382241499,0.10394736842105264,2,21,30,0.14285714285714285,0.411764705882353
Network_283,5,3,0.23390591031364494,0.06096491228070176,2,21,30,0.14285714285714285,0.411764705882353
Network_283,6,2,0.07327696431994785,0.039473684210526314,2,21,30,0.14285714285714285,0.411764705882353
Network_283,7,2,0.17972297991066005,0.016666666666666666,2,21,30,0.14285714285714285,0.411764705882353
Network_283,8,2,0.09998700715156848,0.007017543859649122,2,21,30,0.14285714285714285,0.411764705882353
Network_283,9,1,0.10897707428457204,0.0,1,21,30,0.14285714285714285,0.411764705882353
Network_283,10,3,0.2887000541952319,0.042982456140350886,2,21,30,0.14285714285714285,0.411764705882353
Network_283,11,4,0.3055826660368459,0.15964912280701754,2,21,30,0.14285714285714285,0.411764705882353
Network_283,13,2,0.04335871892363833,0.024999999999999998,2,21,30,0.14285714285714285,0.411764705882353
Network_283,14,3,0.13453317129449807,0.08201754385964911,2,21,30,0.14285714285714285,0.411764705882353
Network_283,15,3,0.21537892033124842,0.13728070175438595,2,21,30,0.14285714285714285,0.411764705882353
Network_283,16,5,0.33576775410661897,0.20482456140350874,2,21,30,0.14285714285714285,0.411764705882353
Network_283,17,1,0.05861970051693419,0.0,1,21,30,0.14285714285714285,0.411764705882353
Network_283,18,1,0.10897707428457187,0.0,1,21,30,0.14285714285714285,0.411764705882353
Network_283,19,6,0.4261580135490143,0.2649122807017544,2,21,30,0.14285714285714285,0.411764705882353
Network_283,20,1,0.08292903152689377,0.0,1,21,30,0.14285714285714285,0.411764705882353
Network_283,22,3,0.23609772895746114,0.02894736842105263,2,21,30,0.14285714285714285,0.411764705882353
