network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Mass,MeanWing,MeanTS,Sex,StressCort,Color,MicrobialDiv
Network_320,Tag5,16,0.26267150091338676,0.012979797979797982,13,17,122,0.8970588235294118,-0.041228872503808994,16.5,116.67,97.0,M,111.55,4.585903574,28.74805
Network_320,Tag6,15,0.2527725155908357,0.005688131313131313,13,17,122,0.8970588235294118,-0.041228872503808994,17.0,115.0,85.75,M,14.1,-1.027763733,39.781455
Network_320,Tag2,15,0.25277251559083574,0.005688131313131313,13,17,122,0.8970588235294118,-0.041228872503808994,16.5,118.67,89.5,M,85.78,2.5807243730000002,36.481182000000004
Network_320,Tag8,16,0.26267150091338676,0.012979797979797982,13,17,122,0.8970588235294118,-0.041228872503808994,17.0,117.83,88.5,M,28.26,-0.014606764,40.485937
Network_320,Tag9,15,0.24927268075181358,0.009160353535353535,13,17,122,0.8970588235294118,-0.041228872503808994,17.5,118.0,94.5,M,27.24,0.238277971,37.57168
Network_320,Tag55,9,0.15425259683260764,0.0007575757575757576,9,17,122,0.8970588235294118,-0.041228872503808994,22.5,118.33,87.0,F,32.15,-2.305266946,36.548481
Network_320,Tag23,12,0.20878935942124752,0.0,12,17,122,0.8970588235294118,-0.041228872503808994,17.5,121.67,84.85,F,15.75,-2.642731593,34.079158
Network_320,Tag17,15,0.2506819274612798,0.008680555555555554,13,17,122,0.8970588235294118,-0.041228872503808994,16.0,121.17,83.5,M,26.82,-1.671400136,36.717665999999994
Network_320,Tag15,15,0.25277251559083574,0.005688131313131313,13,17,122,0.8970588235294118,-0.041228872503808994,16.6,116.5,92.5,M,73.55,3.240081969,34.292013
Network_320,Tag12,16,0.2626715009133868,0.012979797979797982,13,17,122,0.8970588235294118,-0.041228872503808994,18.0,119.83,90.05,M,37.78,0.596452222,37.49883
Network_320,Tag10,11,0.18682953652730253,0.002777777777777778,10,17,122,0.8970588235294118,-0.041228872503808994,18.5,118.0,76.35,F,30.74,0.14187216,34.109413
Network_320,Tag11,16,0.2626715009133868,0.012979797979797982,13,17,122,0.8970588235294118,-0.041228872503808994,20.5,118.83,82.5,F,26.78,-1.7374647619999999,36.117672
Network_320,Tag52,14,0.24078294213872872,0.0013888888888888887,13,17,122,0.8970588235294118,-0.041228872503808994,18.25,118.17,80.6,F, ,0.10152707,39.064318
Network_320,Tag53,14,0.24078294213872875,0.0013888888888888887,13,17,122,0.8970588235294118,-0.041228872503808994,19.75,115.0,75.5,F,47.38,-2.006672356,39.23853
Network_320,Tag51,15,0.2492726807518137,0.009160353535353535,13,17,122,0.8970588235294118,-0.041228872503808994,16.25,120.0, ,M,56.11,0.5569764, 
Network_320,Tag18,14,0.24078294213872883,0.0013888888888888887,13,17,122,0.8970588235294118,-0.041228872503808994,17.0,115.0,92.25,M,38.19,3.246824282,40.926320000000004
Network_320,Tag19,16,0.2626715009133867,0.012979797979797982,13,17,122,0.8970588235294118,-0.041228872503808994,17.0,114.17,81.5,F,49.36,-3.8827337330000002,36.426678
