network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Repro (2009),Age (2009),Repro (2010),Age (2010),Sex
Network_321,18951,31,0.17491755690047547,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,non reproductive,juv,f
Network_321,18952,2,0.011286773417854515,0.0,2,43,546,0.6046511627906976,0.04165123280144686, , ,non reproductive,juv,m
Network_321,15241,31,0.17491755690047528,0.0,31,43,546,0.6046511627906976,0.04165123280144686, ,adult, , ,f
Network_321,18954,31,0.1749175569004752,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,non reproductive,juv,f
Network_321,13452,33,0.17750505994318258,0.014017504234895537,31,43,546,0.6046511627906976,0.04165123280144686,non reproductive,adult, , ,f
Network_321,18702,31,0.17491755690047542,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , , ,adult,f
Network_321,18703,34,0.17722649157764184,0.03513186962285584,31,43,546,0.6046511627906976,0.04165123280144686, , , ,adult,f
Network_321,15504,31,0.1749175569004754,0.0,31,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv,lactating,adult,f
Network_321,15381,8,0.03533697571460148,0.002431156487360093,6,43,546,0.6046511627906976,0.04165123280144686,lactating,adult, , ,f
Network_321,18715,31,0.17491755690047542,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,non reproductive,adult,m
Network_321,18716,31,0.17491755690047547,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , , ,adult,f
Network_321,18971,31,0.17491755690047553,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,non reproductive,juv,m
Network_321,18854,31,0.17491755690047545,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,lactating,adult,f
Network_321,8270,31,0.17491755690047522,0.0,31,43,546,0.6046511627906976,0.04165123280144686,post lactation,adult,post lactation,adult,f
Network_321,18871,34,0.17709678405819845,0.03822106078203638,31,43,546,0.6046511627906976,0.04165123280144686, , ,non reproductive,juv,f
Network_321,15290,1,0.005691414124336962,0.0,1,43,546,0.6046511627906976,0.04165123280144686,lactating,adult, , ,f
Network_321,15429,11,0.04206186755564323,0.06638926251863686,8,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv, , ,m
Network_321,18633,33,0.1775050599431823,0.014017504234895537,31,43,546,0.6046511627906976,0.04165123280144686, , , ,adult,f
Network_321,15307,31,0.17491755690047545,0.0,31,43,546,0.6046511627906976,0.04165123280144686, ,adult, , ,f
Network_321,15372,31,0.17491755690047522,0.0,31,43,546,0.6046511627906976,0.04165123280144686,lactating,adult, , ,f
Network_321,15442,33,0.17674647261943421,0.013830816879597363,31,43,546,0.6046511627906976,0.04165123280144686,lactating,adult,pregnant,adult,f
Network_321,18771,31,0.17491755690047536,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,pregnant,adult,f
Network_321,18772,33,0.17674647261943413,0.013830816879597363,31,43,546,0.6046511627906976,0.04165123280144686, , ,pregnant,adult,f
Network_321,15374,33,0.17750505994318236,0.014017504234895537,31,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv, , ,f
Network_321,15446,6,0.02946315055121369,0.0,6,43,546,0.6046511627906976,0.04165123280144686,lactating,adult, , ,f
Network_321,15481,3,0.0020618044645595024,0.0,3,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv, , ,m
Network_321,15449,6,0.029463150551213693,0.0,6,43,546,0.6046511627906976,0.04165123280144686,lactating,adult, , ,f
Network_321,13456,31,0.17491755690047556,0.0,31,43,546,0.6046511627906976,0.04165123280144686,post lactation,adult, , ,f
Network_321,18889,31,0.17491755690047534,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , ,lactating,adult,f
Network_321,15203,33,0.17750505994318244,0.014017504234895537,31,43,546,0.6046511627906976,0.04165123280144686, ,adult, , ,f
Network_321,15204,34,0.1776817063058484,0.06163655185394313,31,43,546,0.6046511627906976,0.04165123280144686, ,adult, , ,f
Network_321,15205,35,0.17933397566214124,0.03262313076735135,31,43,546,0.6046511627906976,0.04165123280144686, ,adult, , ,f
Network_321,15462,3,0.002061804464559572,0.0,3,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv, , ,f
Network_321,18663,32,0.1760143226762969,0.005420054200542004,31,43,546,0.6046511627906976,0.04165123280144686,,,,,
Network_321,18670,31,0.17491755690047525,0.0,31,43,546,0.6046511627906976,0.04165123280144686, , , ,adult,f
Network_321,18801,34,0.17722649157764195,0.03513186962285584,31,43,546,0.6046511627906976,0.04165123280144686, , ,lactating,adult,f
Network_321,18802,34,0.1772264915776419,0.03513186962285584,31,43,546,0.6046511627906976,0.04165123280144686, , ,lactating,adult,f
Network_321,15348,36,0.18043074143796287,0.04243295195044932,31,43,546,0.6046511627906976,0.04165123280144686,lactating,adult, , ,f
Network_321,18805,32,0.176014322676297,0.005420054200542004,31,43,546,0.6046511627906976,0.04165123280144686, , ,lactating,adult,f
Network_321,15480,8,0.020244326394361026,0.030166113490609783,5,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv, , ,m
Network_321,15444,8,0.04130555163019207,0.0,8,43,546,0.6046511627906976,0.04165123280144686,non reproductive,juv, , ,f
Network_321,18938,32,0.17526786833923944,0.022067363530778164,31,43,546,0.6046511627906976,0.04165123280144686, , ,post lactation,adult,f
Network_321,18860,5,0.018810851997524986,0.0,5,43,546,0.6046511627906976,0.04165123280144686, , ,lactating,adult,f
