network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Weight (kg),Age,Cows bred,Total losses,Total wins
Network_334,24,10,0.10412888656187849,0.003923076923076923,9,26,222,0.683076923076923,0.05245280626987761,771.0,8.0,4.0,16.0,21.0
Network_334,25,14,0.15251469433285125,0.008281001406001407,12,26,222,0.683076923076923,0.05245280626987761, ,12.0,3.0,12.0,68.0
Network_334,26,13,0.14746505018078418,0.0035449735449735453,12,26,222,0.683076923076923,0.05245280626987761, ,7.0,1.0,1.0,15.0
Network_334,20,13,0.14847283217849758,0.004346872082166201,12,26,222,0.683076923076923,0.05245280626987761, ,12.0,1.0,79.0,17.0
Network_334,21,10,0.10970988360808799,0.003515466015466015,9,26,222,0.683076923076923,0.05245280626987761,801.0,6.0,1.0,53.0,21.0
Network_334,22,7,0.08014548609412271,0.0006666666666666668,7,26,222,0.683076923076923,0.05245280626987761, ,11.0,0.0,8.0,1.0
Network_334,23,6,0.06449310892481198,0.0004166666666666667,6,26,222,0.683076923076923,0.05245280626987761,907.0,8.0,3.0,14.0,24.0
Network_334,1,20,0.2254760199924405,0.01249904860934273,14,26,222,0.683076923076923,0.05245280626987761,758.0,7.0,4.0,22.0,96.0
Network_334,3,21,0.22963913712926542,0.02036127897157309,14,26,222,0.683076923076923,0.05245280626987761, ,9.0,2.0,19.0,77.0
Network_334,2,19,0.21623358620218802,0.008827766188060306,14,26,222,0.683076923076923,0.05245280626987761, ,10.0,1.0,16.0,36.0
Network_334,5,18,0.2081378306261513,0.005453116328116328,14,26,222,0.683076923076923,0.05245280626987761,884.0,8.0,4.0,67.0,34.0
Network_334,4,20,0.21817460745773182,0.022776044761338883,14,26,222,0.683076923076923,0.05245280626987761,810.0,7.0,3.0,20.0,59.0
Network_334,7,19,0.21156781467287128,0.011884020119314236,14,26,222,0.683076923076923,0.05245280626987761,850.0,11.0,1.0,34.0,28.0
Network_334,6,20,0.21647924086675593,0.020396395271395276,14,26,222,0.683076923076923,0.05245280626987761,790.0,10.0,1.0,29.0,60.0
Network_334,9,24,0.2482108160758867,0.049783310643604764,14,26,222,0.683076923076923,0.05245280626987761,866.0,6.0,1.0,57.0,46.0
Network_334,8,18,0.19975014646859215,0.011908754644048761,14,26,222,0.683076923076923,0.05245280626987761, ,12.0,3.0,48.0,46.0
Network_334,11,12,0.1475395444103781,0.00019607843137254904,12,26,222,0.683076923076923,0.05245280626987761,821.0,7.0,0.0,6.0,9.0
Network_334,10,20,0.2240298496596751,0.013985173595467713,14,26,222,0.683076923076923,0.05245280626987761,765.0,8.0,0.0,94.0,57.0
Network_334,13,19,0.21989415159834996,0.005834379944674062,14,26,222,0.683076923076923,0.05245280626987761,808.0,6.0,0.0,52.0,21.0
Network_334,12,18,0.21077702041883745,0.005127151987446105,14,26,222,0.683076923076923,0.05245280626987761,799.0,8.0,0.0,16.0,27.0
Network_334,15,20,0.22111767955210304,0.015263349123643244,14,26,222,0.683076923076923,0.05245280626987761, ,5.0,1.0,31.0,16.0
Network_334,14,23,0.24517081072113991,0.028492305352599473,14,26,222,0.683076923076923,0.05245280626987761,774.0,8.0,2.0,46.0,15.0
Network_334,17,22,0.23446146543610155,0.031000167860461985,14,26,222,0.683076923076923,0.05245280626987761,801.0,6.0,1.0,38.0,36.0
Network_334,16,22,0.2278251567266219,0.03689002201502201,14,26,222,0.683076923076923,0.05245280626987761, ,12.0,0.0,12.0,7.0
Network_334,19,20,0.22771226930102292,0.009226719087013203,14,26,222,0.683076923076923,0.05245280626987761,770.0,10.0,2.0,53.0,25.0
Network_334,18,16,0.1806477975235738,0.008733527093821214,13,26,222,0.683076923076923,0.05245280626987761,772.0,9.0,0.0,45.0,26.0
