network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Name,Sex,Number litters conceived where female might have mated again with a sire of an earlier successful litter,Number litters sired by a male who sired an earlier successful litter
Network_357,24,32,0.17652434096899322,0.009196467050467857,25,35,521,0.8756302521008403,0.1342069319430335,oke,female, , 
Network_357,25,30,0.16958949060385256,0.002204440990008099,25,35,521,0.8756302521008403,0.1342069319430335,ome,male, , 
Network_357,26,32,0.1799692823168209,0.0029211621027611426,25,35,521,0.8756302521008403,0.1342069319430335,par,female,2.0,0.0
Network_357,27,32,0.17948070913421002,0.003199340714273087,25,35,521,0.8756302521008403,0.1342069319430335,puc,female, , 
Network_357,20,29,0.16124718319137293,0.007007310209679612,25,35,521,0.8756302521008403,0.1342069319430335,mp,female,2.0,0.0
Network_357,21,32,0.17913123678327425,0.0033641555283809017,25,35,521,0.8756302521008403,0.1342069319430335,mrph,female,2.0,0.0
Network_357,22,33,0.1844945017741818,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,nav,female,4.0,0.0
Network_357,23,32,0.17948070913420996,0.003199340714273087,25,35,521,0.8756302521008403,0.1342069319430335,nod,male, , 
Network_357,28,26,0.15027450125693403,0.0005290128447667324,25,35,521,0.8756302521008403,0.1342069319430335,rub,male, , 
Network_357,29,27,0.15426514955412293,0.0011162703032944383,25,35,521,0.8756302521008403,0.1342069319430335,sco,male, , 
Network_357,1,33,0.18449450177418178,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,ali,female,1.0,0.0
Network_357,3,33,0.18449450177418178,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,bail,female,2.0,0.0
Network_357,2,32,0.17996928231682074,0.0029211621027611426,25,35,521,0.8756302521008403,0.1342069319430335,amar,female,1.0,0.0
Network_357,4,7,0.040203417695278625,0.0,7,35,521,0.8756302521008403,0.1342069319430335,bern,female, , 
Network_357,7,26,0.14974879968962562,0.0005852383911883574,25,35,521,0.8756302521008403,0.1342069319430335,csn,female,1.0,0.0
Network_357,6,33,0.18088596105436702,0.010366890929951638,25,35,521,0.8756302521008403,0.1342069319430335,cr,female,1.0,0.0
Network_357,9,25,0.14247654287808412,0.0013562158730082788,25,35,521,0.8756302521008403,0.1342069319430335,foz,male, , 
Network_357,8,26,0.1486674023221087,0.0009038058708811567,25,35,521,0.8756302521008403,0.1342069319430335,cuj,male, , 
Network_357,11,29,0.16474465310338202,0.0017295936613283287,25,35,521,0.8756302521008403,0.1342069319430335,gol,female,2.0,0.0
Network_357,10,33,0.1844945017741818,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,ger,female,2.0,0.0
Network_357,13,30,0.16653855115430422,0.007784416569983678,25,35,521,0.8756302521008403,0.1342069319430335,hg,female,3.0,0.0
Network_357,12,32,0.17913123678327422,0.0033641555283809017,25,35,521,0.8756302521008403,0.1342069319430335,hem,female, , 
Network_357,15,34,0.18577140872554407,0.011188121060257178,25,35,521,0.8756302521008403,0.1342069319430335,jj,female,1.0,0.0
Network_357,14,33,0.18449450177418183,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,hml,female, , 
Network_357,17,27,0.15442191243986686,0.0010387689470207032,25,35,521,0.8756302521008403,0.1342069319430335,ldv,male, , 
Network_357,16,33,0.18449450177418183,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,kip,female, , 
Network_357,33,28,0.157859270424721,0.0023178946743234122,25,35,521,0.8756302521008403,0.1342069319430335,whh,female, , 
Network_357,18,29,0.16465381085995484,0.0018403724975973612,25,35,521,0.8756302521008403,0.1342069319430335,linc,male, , 
Network_357,31,34,0.1857714087255441,0.011188121060257178,25,35,521,0.8756302521008403,0.1342069319430335,sx,female,1.0,0.0
Network_357,30,27,0.15525694400517484,0.0008307106102326138,25,35,521,0.8756302521008403,0.1342069319430335,sein,female,1.0,0.0
Network_357,36,31,0.1741174441433024,0.003019038708413272,25,35,521,0.8756302521008403,0.1342069319430335,yet,male, , 
Network_357,35,31,0.1688624080320731,0.010050533783386602,25,35,521,0.8756302521008403,0.1342069319430335,wr,female,1.0,0.0
Network_357,34,27,0.15381832884786106,0.001275424874213715,25,35,521,0.8756302521008403,0.1342069319430335,who,female,1.0,0.0
Network_357,19,33,0.1844945017741819,0.003544457534240717,25,35,521,0.8756302521008403,0.1342069319430335,mali,female,1.0,0.0
Network_357,32,31,0.17469024437887065,0.002598140037121081,25,35,521,0.8756302521008403,0.1342069319430335,ua,female,1.0,0.0
