network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Birth Year,Sex,Rank (Nov 2006-Jun 2007),Rank (Jul 2007-Jun 2008),Rank (Nov 2008-Jun 2009)
Network_363,Pr,17,0.19013792679570574,0.016781188602852493,12,28,228,0.6031746031746031,0.11420662342420046,2002.0,female,6.0,4.0,7.0
Network_363,Tt,12,0.13430233251593607,0.007815082320255509,11,28,228,0.6031746031746031,0.11420662342420046,2006.0,female, , ,17.0
Network_363,Li,24,0.2591559654347699,0.040260467317173934,12,28,228,0.6031746031746031,0.11420662342420046,2003.0,female,4.0,7.0,6.0
Network_363,Ti,11,0.13969614361025434,0.0015511906805468765,11,28,228,0.6031746031746031,0.11420662342420046,2001.0,male,3.0, , 
Network_363,Ro,23,0.2400836351353464,0.04300257751112452,12,28,228,0.6031746031746031,0.11420662342420046,1995.0,male,1.0,1.0,1.0
Network_363,Nt,19,0.2196751890009195,0.015953787134425378,12,28,228,0.6031746031746031,0.11420662342420046,1996.0,female,8.0,14.0,13.0
Network_363,"Ta
",11,0.12812856060803748,0.004454100527901169,10,28,228,0.6031746031746031,0.11420662342420046,,,,,
Network_363,We,18,0.21112721016585576,0.013544375976899593,12,28,228,0.6031746031746031,0.11420662342420046,1988.0,female,14.0,20.0, 
Network_363,Yo,17,0.19099933634816765,0.01584781128058628,11,28,228,0.6031746031746031,0.11420662342420046,2004.0,female,15.0,23.0,21.0
Network_363,Bo,17,0.19260944207886904,0.013746836542608025,12,28,228,0.6031746031746031,0.11420662342420046,2002.0,male,9.0,15.0, 
Network_363,Fa,10,0.10796427827289701,0.006951959088711227,10,28,228,0.6031746031746031,0.11420662342420046,2005.0,female,7.0,11.0,12.0
Network_363,Ha,17,0.20104166426103046,0.012700630035114435,12,28,228,0.6031746031746031,0.11420662342420046,2004.0,male,16.0,13.0, 
Network_363,Dr,20,0.22326003921722895,0.023510530802280168,12,28,228,0.6031746031746031,0.11420662342420046,2004.0,male,18.0,18.0,19.0
Network_363,Ki,11,0.1156746673106908,0.00875642754727722,10,28,228,0.6031746031746031,0.11420662342420046,2006.0,male, , ,16.0
Network_363,Me,16,0.19044171172341656,0.009512579063861116,12,28,228,0.6031746031746031,0.11420662342420046,2002.0,male,12.0,10.0,10.0
Network_363,Ka,22,0.24280701496012183,0.029719833031798842,12,28,228,0.6031746031746031,0.11420662342420046,2001.0,male,13.0,17.0,15.0
Network_363,Ok,13,0.14766480333583928,0.008308682160260579,11,28,228,0.6031746031746031,0.11420662342420046,2005.0,male, ,9.0,5.0
Network_363,Mo,15,0.1779782823207952,0.007441454263118152,12,28,228,0.6031746031746031,0.11420662342420046,1996.0,female,2.0,2.0,2.0
Network_363,Kw,12,0.134181110666238,0.00918358956483113,11,28,228,0.6031746031746031,0.11420662342420046,2005.0,male, ,8.0,3.0
Network_363,Sa,19,0.20984819327571647,0.022616904801816554,12,28,228,0.6031746031746031,0.11420662342420046,2001.0,female,5.0,5.0,9.0
Network_363,Zi,14,0.15729323641362347,0.011857167840073821,11,28,228,0.6031746031746031,0.11420662342420046,2003.0,male,19.0,21.0, 
Network_363,Em,21,0.23949771606676995,0.022301586217267196,12,28,228,0.6031746031746031,0.11420662342420046,1996.0,female,17.0,22.0,20.0
Network_363,Ch,15,0.18255644602360274,0.007303557971375706,12,28,228,0.6031746031746031,0.11420662342420046,2005.0,male, ,24.0, 
Network_363,Ve,13,0.14078979115857015,0.011173746323318972,11,28,228,0.6031746031746031,0.11420662342420046,2004.0,female,10.0,3.0,8.0
Network_363,Ja,19,0.21769853244316342,0.018294521740117246,12,28,228,0.6031746031746031,0.11420662342420046,2003.0,male,11.0,6.0,4.0
Network_363,Vz,16,0.1908896581917141,0.00922903831565947,12,28,228,0.6031746031746031,0.11420662342420046,2006.0,male, , ,18.0
Network_363,Ep,20,0.22079252693294946,0.025154222162769167,12,28,228,0.6031746031746031,0.11420662342420046,1988.0,female, ,12.0,11.0
Network_363,Gi,14,0.15745069808612372,0.01037657852640256,11,28,228,0.6031746031746031,0.11420662342420046,2005.0,female, ,16.0,14.0
