network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Sex,Aug-Oct 2008,Feb-Apr 2009,Aug-Nov 2009
Network_365,67BA270,4,0.5058702733638979,0.04395604395604396,3,15,13,0.12380952380952381,0.6232146952732429,M,1,1,0
Network_365,6835AF9,1,-1.942890293094024e-16,0.0,1,15,13,0.12380952380952381,0.6232146952732429,M,1,1,1
Network_365,68301F0,1,2.7755575615628914e-16,0.0,1,15,13,0.12380952380952381,0.6232146952732429,F,1,1,1
Network_365,66E1536,1,-2.7755575615628914e-17,0.0,1,15,13,0.12380952380952381,0.6232146952732429,F,1,1,1
Network_365,66CCAB3,1,6.938893903907228e-17,0.0,1,15,13,0.12380952380952381,0.6232146952732429,M,1,0,0
Network_365,61F7EB0,4,0.5058702733638977,0.04395604395604396,3,15,13,0.12380952380952381,0.6232146952732429,F,1,1,1
Network_365,6834F25,1,0.15987061798010205,0.0,1,15,13,0.12380952380952381,0.6232146952732429,M,1,1,1
Network_365,614F645,3,0.46747903913800826,0.0,3,15,13,0.12380952380952381,0.6232146952732429,M,1,1,0
Network_365,670D222,1,5.551115123125783e-17,0.0,1,15,13,0.12380952380952381,0.6232146952732429,M,1,0,0
Network_365,61F5F97,1,-1.249000902703301e-16,0.0,1,15,13,0.12380952380952381,0.6232146952732429,M,1,1,1
Network_365,61865F6,1,-5.551115123125783e-17,0.0,1,15,13,0.12380952380952381,0.6232146952732429,F,1,0,1
Network_365,68307C2,1,1.6653345369377348e-16,0.0,1,15,13,0.12380952380952381,0.6232146952732429,F,1,0,0
Network_365,6832B9F,3,0.4674790391380087,0.0,3,15,13,0.12380952380952381,0.6232146952732429,M,1,1,1
Network_365,6831909,2,-0.0,0.01098901098901099,1,15,13,0.12380952380952381,0.6232146952732429,M,1,1,1
Network_365,66FF8F7,1,0.15987061798010213,0.0,1,15,13,0.12380952380952381,0.6232146952732429,M,1,0,0
