network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Infected_Ever,Number_Days_with_RFID_Data,Average_Adjusted_Group_Size,Eigenvector_Centrality,Feeders_Visited_per_Day,Feeding_Bouts_per_Day,Instances_of_Aggression_per_Day,Number_of_Captures,Num_Unique_Indivs_w_which_Interacted_Aggressively,Relative_Dominance,Sex,Time_on_Feeders_per_Day_in_Minutes,Weighted_Degree
Network_438,2581-25042,43,0.187219785427285,0.05005263230831749,17,117,1027,0.15134099616858238,0.5891424805616717,N,123,0.10570178400000001,0.321557943,0.040650407,16.50406504,3.0406504069999998,1,0.25203252,-0.027675154,F,4.658536585,1.12982713
Network_438,2581-25043,41,0.18689443696656208,0.022376034062580062,17,117,1027,0.15134099616858238,0.5891424805616717,N,96,0.098716409,0.257765991,0.03125,27.34375,4.052083333,2,0.270833333,0.007816571999999999,M,6.0229166670000005,0.980979487
Network_438,2581-25040,28,0.1448894156605315,0.0021432457980921516,17,117,1027,0.15134099616858238,0.5891424805616717,Y,38,0.102078092,0.115535249,0.052631579000000005,29.94736842,6.763157895,2,0.552631579,0.084567495,F,13.19736842,0.559123389
Network_438,2581-25041,24,0.13548653854558634,0.0009320751805762525,17,117,1027,0.15134099616858238,0.5891424805616717,N,81,0.097083305,0.301890614,0.024691357999999997,18.28395062,3.2716049380000003,3,0.209876543,0.012213632,M,3.688580247,0.94814557
Network_438,2581-25045,7,0.025323479952072847,6.980084141631245e-05,7,117,1027,0.15134099616858238,0.5891424805616717,N,6,0.18510915600000002,0.000632869,0.166666667,30.0,2.666666667,1,0.666666667,0.295644924,M,24.96944445,0.077068395
Network_438,2281-94450,14,0.07535561209514217,0.00044672385956548845,13,117,1027,0.15134099616858238,0.5891424805616717,N,12,0.06799128,0.0041749379999999996,0.25,6.5,1.083333333,1,0.583333333,-0.13593117,M,2.317361112,0.086312766
Network_438,2281-94457,43,0.17076083293799685,0.03948398294430022,16,117,1027,0.15134099616858238,0.5891424805616717,N,121,0.072017033,0.014301723999999998,0.033057851,12.84297521,1.247933884,3,0.22314049600000002,0.016740566999999998,F,4.95922865,0.550507606
Network_438,2281-94454,29,0.13509097841699177,0.00949077454936162,16,117,1027,0.15134099616858238,0.5891424805616717,N,45,0.06866987,0.013445266,0.066666667,8.022222222,0.8222222220000001,1,0.37777777799999995,-0.137570055,F,1.191481482,0.363358395
Network_438,2551-79141,2,0.004261799982287519,3.582060338545469e-05,2,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.054095238,0.000511976,0.5,5.5,1.0,1,0.5,0.053543465,M,0.35,0.115131579
Network_438,2551-79140,24,0.024778557378579844,0.006567755930212919,15,117,1027,0.15134099616858238,0.5891424805616717,N,34,0.071339953,0.001934334,0.029411765,8.970588235,2.558823529,1,0.382352941,-0.061629162,F,3.543627452,0.670415292
