network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,population,Group,sex,Carter1,Carter2,Carter3,Carter4,Carter5,Carter6,Carter7,Carter8,Carter9,Carter10,Carter11,Carter12,TsCa2
Network_505,count,1,0.02185646365911567,0.0,1,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,166/166,165/170,145/145,161/161,114/114,136/143,137/148,152/152,143/149,152/165,163/163,117/117,204/204
Network_505,veronica,12,0.32017565370152734,0.048458646616541354,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,166/166,165/170,145/145,163/163,114/114,136/143,137/157,152/152,143/143,150/150,163/163,117/125,198/204
Network_505,cerce,12,0.3221075608303089,0.04012531328320802,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,124/166,161/165,145/145,144/161,114/114,143/143,148/157,147/150,149/149,149/172,151/151,125/132,196/196
Network_505,vampirella,9,0.21276533819796836,0.15169172932330827,6,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,124/166,165/165,145/145,144/163,114/114,132/136,137/157,152/154,143/149,164/172,151/163,125/132,196/196
Network_505,thecount,6,0.19110429948732008,0.0,6,21,72,0.34285714285714286,0.15217948523577302,,,,,,,,,,,,,,,,
Network_505,vlad,1,0.03278908662215132,0.0,1,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,124/166,161/169,145/145,161/161,114/114,136/143,157/157,152/156,149/149,150/150,163/172,125/125,181/198
Network_505,speedster,8,0.24305587238848833,0.004511278195488721,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,124/166,161/161,145/145,144/144,114/114,136/143,148/157,150/150,135/149,172/172,151/163,125/125,196/198
Network_505,helsing,4,0.1270042652023583,0.0,4,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,138/166,161/161,145/145,144/159,114/114,132/143,157/159,147/150,145/149,172/172,163/172,132/132,196/196
Network_505,bella,14,0.32373367679193593,0.1805764411027569,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,159/166,161/173,145/145,144/161,114/114,132/143,148/148,150/152,145/149,172/172,151/163,125/132,196/196
Network_505,fuschia,3,0.10025165477545694,0.0,3,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,124/138,161/161,145/145,144/161,114/114,136/143,137/157,150/152,135/149,172/172,151/172,132/132,181/198
Network_505,lucy,13,0.31919075350759696,0.14399749373433582,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,138/166,161/173,145/145,144/144,114/114,143/143,137/159,147/152,143/143,150/150,163/172,132/132,196/202
Network_505,streblick,1,0.026853784967260496,0.0,1,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,124/149,165/165,145/145,163/181,114/114,134/134,157/159,152/156,135/143,164/164,151/163,125/125,177/196
Network_505,flapper,10,0.2712962473417696,0.04936090225563909,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,159/166,165/165,145/145,154/184,114/114,132/132,137/148,152/161,149/149,150/172,151/163,132/132,198/207
Network_505,maribelo,4,0.12099002941120252,0.0,4,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,170/170,169/173,145/145,144/163,114/116,136/143,137/157,147/154,143/143,150/150,163/163,132/132,196/202
Network_505,mina,10,0.29101619589556993,0.012669172932330823,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,157/166,165/169,145/145,154/154,114/114,136/143,148/157,152/156,136/149,149/165,166/172,125/132,177/181
Network_505,mya,11,0.26141258391870686,0.20899749373433582,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,124/149,165/165,145/145,163/181,114/114,134/134,153/159,152/156,135/149,164/164,151/151,125/125,177/181
Network_505,gelfing,2,0.049725554654391504,0.0017543859649122805,2,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,166/166,161/173,145/145,144/163,114/114,136/143,157/157,150/152,143/149,150/150,163/163,132/132,198/202
Network_505,gomez,1,0.03325576149744475,0.0,1,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,m,166/166,161/173,145/145,144/183,114/116,143/151,148/157,147/147,143/143, , ,132/132,196/196
Network_505,countess,13,0.3320068820229215,0.06706766917293233,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,166/166,165/170,145/145,144/184,114/114,132/132,137/153,152/154,143/149,150/150,163/163,125/132,198/200
Network_505,lucy ,1,0.026853784967260506,0.0,1,21,72,0.34285714285714286,0.15217948523577302,,,,,,,,,,,,,,,,
Network_505,dot,8,0.2488614654356759,0.0013157894736842105,7,21,72,0.34285714285714286,0.15217948523577302,Cranbrook,Cranbrook,f,159/166,161/161,145/145,144/154,114/114,136/143,148/157,150/152,149/149,172/172,151/163,125/132,196/202
