network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Male body length (mm),Male dry weight (g),Singing effort
Network_666,BWBM,6,0.20738550750695287,0.034720649914592054,4,36,89,0.14126984126984127,0.32785,MALE,8.3,0.0075,0.279245283
Network_666,BGB,5,0.17408585738023488,0.024703230123180642,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GYG,5,0.20380198106436329,0.02610988874576641,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,RBR,7,0.22804036235998318,0.07378595487358616,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,RYR,4,0.13654782061255266,0.011884507125642853,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,WRW,6,0.20884808672665883,0.04302045556205344,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,WWW,9,0.28406634740318026,0.1757707046148638,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GGGM,5,0.14500569340966674,0.05791605826991037,3,36,89,0.14126984126984127,0.32785,MALE,8.71,0.00715,0.30370370399999996
Network_666,GWG,3,0.07506339274989605,0.009851743751702845,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,YGY,2,0.04193219931758171,0.0032574075862224915,2,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,YWY,8,0.2886476138880527,0.09736112016391792,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GRGM,9,0.2990075409755171,0.10066687088944107,4,36,89,0.14126984126984127,0.32785,MALE,8.63,0.00715,0.281124498
Network_666,GBG,5,0.1672990403693267,0.023204766184595563,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GGG,3,0.1279644833884556,0.00618029735744852,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,WGW,6,0.20370442631348024,0.04782987362235913,4,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,YYY,4,0.12276285780835466,0.0371651167967383,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GWGM,6,0.10478340439070374,0.07305757684888117,3,36,89,0.14126984126984127,0.32785,MALE,8.57,0.0062,0.17578125
Network_666,BBB,4,0.11554123190724887,0.035441498660409125,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GRG,3,0.09016129304239266,0.011272614464498431,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,YBY,4,0.07345372788045788,0.06172645137720106,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,GYGM,4,0.11524213687271383,0.022109987348204557,3,36,89,0.14126984126984127,0.32785,MALE,8.85,0.0078,0.27099236600000004
Network_666,WBW,3,0.057032369114656534,0.013614296327301977,3,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,RGRM,7,0.25584090201648957,0.04924130674798383,4,36,89,0.14126984126984127,0.32785,MALE,8.84,0.008233591,0.301204819
Network_666,RWRM,8,0.23494352052386286,0.08020265815566546,4,36,89,0.14126984126984127,0.32785,MALE,7.83,0.00465,0.256916996
Network_666,WGWM,5,0.14211120653000472,0.034814353764153955,3,36,89,0.14126984126984127,0.32785,MALE,8.83,0.00685,0.146616541
Network_666,AAA,3,0.06413908397962498,0.02491883715226249,2,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,WRWM,2,0.023097762321854728,0.003520832650678138,2,36,89,0.14126984126984127,0.32785,MALE,8.04,0.00675,0.290322581
Network_666,WWWM,5,0.09281491071424319,0.09722475723467412,3,36,89,0.14126984126984127,0.32785,MALE,9.07,0.0067,0.347328244
Network_666,BYB,1,0.015580877508207264,0.0,1,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,WYWM,7,0.19736171846911402,0.0640363213078573,4,36,89,0.14126984126984127,0.32785,MALE,8.41,0.00685,0.35658914700000005
Network_666,YGYM,8,0.21686600412231546,0.14344800494286986,4,36,89,0.14126984126984127,0.32785,MALE,7.94,0.0058,0.357976654
Network_666,RGR,2,0.05851113229717048,0.004491855557036154,2,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,YRYM,6,0.131683396711527,0.06668133542443751,3,36,89,0.14126984126984127,0.32785,MALE,8.88,0.009000000000000001,0.317647059
Network_666,RWR,2,0.060435643869674205,0.004543833734725336,2,36,89,0.14126984126984127,0.32785,FEMALE,,,
Network_666,YWYM,4,0.1297856007124008,0.011765350480037878,4,36,89,0.14126984126984127,0.32785,MALE,8.62,0.0064,0.324626866
Network_666,YYYM,7,0.22833027304275086,0.07319897803741951,4,36,89,0.14126984126984127,0.32785,MALE,8.26,0.00705,0.30798479100000004
