network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Group,Age,No. of courting associations,No. of courting males (old adult),No. of courting males (young adult)
Network_674,Sm1,3,0.5,0.0375,2,17,13,0.09558823529411764,,MALE,SM,old adult, , , 
Network_674,Sf1,1,0.22360679774997913,0.0,1,17,13,0.09558823529411764,,FEMALE,SM,old adult,12,24,5
Network_674,Sf3,2,0.447213595499958,0.016666666666666666,2,17,13,0.09558823529411764,,FEMALE,SM,young adult,9,24,9
Network_674,Sf4,2,0.44721359549995804,0.016666666666666666,2,17,13,0.09558823529411764,,FEMALE,SM,young adult,11,17,9
Network_674,Sm2,3,0.49999999999999983,0.0375,2,17,13,0.09558823529411764,,MALE,SM,young adult, , , 
Network_674,Sf2,1,0.22360679774997894,0.0,1,17,13,0.09558823529411764,,FEMALE,SM,young adult,11,26,7
Network_674,Sm3,1,2.1719115535357633e-16,0.0,1,17,13,0.09558823529411764,,MALE,SM,young adult, , , 
Network_674,Hf2,3,9.99821067371481e-16,0.025,1,17,13,0.09558823529411764,,FEMALE,HIG,young adult,9,14,2
Network_674,Hm1,1,6.426863376925773e-18,0.0,1,17,13,0.09558823529411764,,MALE,HIG,young adult, , , 
Network_674,Hf1,1,-2.047191322966398e-17,0.0,1,17,13,0.09558823529411764,,FEMALE,HIG,young adult,11,37,9
Network_674,Hm2,1,2.31590080714536e-16,0.0,1,17,13,0.09558823529411764,,MALE,HIG,young adult, , , 
Network_674,Tm1,1,3.5447684395222116e-17,0.0,1,17,13,0.09558823529411764,,MALE,,,,,
Network_674,Mm1,1,9.664158920139897e-17,0.0,1,17,13,0.09558823529411764,,MALE,MIG,young adult, , , 
Network_674,Mf1,1,3.7553254982276694e-17,0.0,1,17,13,0.09558823529411764,,FEMALE,MIG,young adult,11,26,8
Network_674,Mm2,1,-7.85045740185866e-17,0.0,1,17,13,0.09558823529411764,,MALE,MIG,young adult, , , 
Network_674,Mf2,2,1.8762185277662738e-16,0.008333333333333333,1,17,13,0.09558823529411764,,FEMALE,MIG,young adult,9,11,4
Network_674,Tm2,1,-2.7755575615628914e-17,0.0,1,17,13,0.09558823529411764,,MALE,,,,,
