network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Age class-Gender,Pack membership,Full Oestrous period,Standardized Rank,Leadership score,Mating partners (number of observed copulations),Male mating/Female reproductive success,Denning site location
Network_676,MER,4,0.6571922996941233,0.09558823529411764,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Resident,-,"1,000","1,000","MAY(4),ISO(1),BAG(1),GIN(1)",7,-
Network_676,MAY,1,0.3077061047013176,0.0,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Adult female,Resident,Early May 2005,"0,520","0,800",MER (4),7,Core area
Network_676,ISO,2,0.3941027190080544,0.03676470588235294,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Adult female,Resident,Early July 2005,"0,360","0,647","MER(1), MSI(1)",2,Core area
Network_676,BAG,2,0.39410271900805427,0.03676470588235294,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Adult female,Dispersed,Late July 2005,-,-,"MER(1),SIR(1)",3,Other place
Network_676,GIN,1,0.3077061047013182,0.0,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Adult female,Dispersed,Mid-Sept. 2005,-,-,MER(1),2,Other place
Network_676,GAS,2,-6.451036035369541e-16,0.058823529411764705,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Resident,-,"0,920","0,667","MOR(2), PIS(1)",3,-
Network_676,MOR,2,-5.627857728999774e-16,0.0661764705882353,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Subadult female,Resident,Late Jan. 2006,"-0,120","0,176","PIP(1), GAS(2)",1,Home range
Network_676,PIS,2,-9.001006660805894e-16,0.03676470588235294,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Young female,Resident,Mid-Apr. 2006,"-1,000","0,000","GOL(1), GAS(1)",1,Home range
Network_676,PIP,2,-4.63013713196863e-17,0.058823529411764705,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Resident,-,"0,840","0,421","MOR(1), CUC(2)",3,-
Network_676,CUC,2,2.706523350660954e-16,0.03676470588235294,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Young female,Resident,Mid-Mar. 2006,"-0,280","0,000","PIP(2), PTE(1)",0,Home range
Network_676,GOL,1,-7.176172345825879e-16,0.0,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Resident,-,"0,680","0,524",PIS(1),1,-
Network_676,SIM,1,-2.258261757739344e-16,0.0,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Subadult male,Resident,-,"0,200","0,250",DIA(1),1, 
Network_676,DIA,1,-2.8248883967720763e-16,0.0,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Adult female,Resident,Mid-Jan. 2006,"0,280","0,500",SIM(1),0, 
Network_676,TRU,1,-6.805844706934809e-17,0.0,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Non-pack,-,-,-,MOL(1),1, 
Network_676,MOL,1,-1.8556807231566348e-17,0.0,1,18,14,0.0915032679738562,0.6274238227146813,FEMALE,Adult female,Dispersed,Mid-Nov. 2005,-,-,-,0, 
Network_676,MSI,1,0.18452409222476937,0.0,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Non-pack,-,-,-,ISO(1),1, 
Network_676,SIR,1,0.18452409222476898,0.0,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Non-pack,-,-,-,BAG(1),1, 
Network_676,PTE,1,1.665334536937735e-16,0.0,1,18,14,0.0915032679738562,0.6274238227146813,MALE,Adult male,Non-pack,-,-,-,CUC(1),1, 
