network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Male type,Age,Body weight (kg),Vol. left testis (mL),Plasma testosterone (ng/mL),Rank (in respective fatted/non-fatted group)
Network_677,14M,12,0.6207416136089449,0.842857142857143,2,16,20,0.16666666666666666,0.13111760409057704,MALE,fatted,10.0,37.0,31.4,16.3,1.0
Network_677,2F,1,0.16040032469593382,0.0,1,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,2CF,2,0.2425284872341403,0.01714285714285715,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,7M,5,0.31783207567282656,0.06666666666666668,2,16,20,0.16666666666666666,0.13111760409057704,MALE,fatted,11.0,23.5,26.2,5.2,2.0
Network_677,5F,2,0.24252848723414033,0.01714285714285715,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,13M,2,0.09567142469783564,0.004761904761904762,2,16,20,0.16666666666666666,0.13111760409057704,MALE,non-fatted,10.0,33.3,46.2,15.0,1.0
Network_677,2DF,2,0.1851219274517673,0.06190476190476191,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,10F,1,0.16040032469593385,0.0,1,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,12F,3,0.2598810394391215,0.15047619047619046,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,5BM,1,0.06715355019618927,0.0,1,16,20,0.16666666666666666,0.13111760409057704,MALE, , , , , , 
Network_677,12DF,1,0.16040032469593382,0.0,1,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,12AF,1,0.1604003246959339,0.0,1,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,12CF,1,0.16040032469593382,0.0,1,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,17AF,2,0.1851219274517673,0.06190476190476191,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,16F,2,0.24252848723414025,0.01714285714285715,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
Network_677,6F,2,0.24252848723414028,0.01714285714285715,2,16,20,0.16666666666666666,0.13111760409057704,FEMALE, , , , , , 
