network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,coef.activity,total.length,foreleg.width.male,coef.agg.male,HAM
Network_678,71M,3,0.08142362213950176,0.0077920106043147365,3,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.6900901359999999,0.685265509,0.028159714,-0.088106671,0
Network_678,112F,11,0.2891795877964271,0.13246542520307258,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.445157316,-0.40673449100000003,-,-,-
Network_678,122F,4,0.10560747973652791,0.011257157037095643,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.002393791,-0.813734491,-,-,-
Network_678,125F,5,0.09965099359634659,0.027451811207560656,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.450530194,-0.115734491,-,-,-
Network_678,72M,4,0.09600571274730679,0.01775975385977929,3,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.45912416899999997,-0.143734491,0.127159714,0.153055304,1
Network_678,124F,5,0.08764468260224315,0.032451204408799735,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.558169281,-0.531734491,-,-,-
Network_678,128F,7,0.1814545893016545,0.04877315703154001,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.174994995,-0.936734491,-,-,-
Network_678,130F,7,0.1909585824202667,0.0502759218651483,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.28732665399999996,0.9432655090000001,-,-,-
Network_678,133F,6,0.12292871911502073,0.06728853653495658,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.41539241600000004,0.769265509,-,-,-
Network_678,73M,8,0.20104653020981586,0.06916865636196629,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.330990626,0.023265509,0.066159714,-0.167950257,1
Network_678,111F,5,0.11292748565826212,0.029698708703314414,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.07886140700000001,-0.262734491,-,-,-
Network_678,116F,7,0.1899203664465571,0.04525773056276134,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.255614142,1.2682655090000001,-,-,-
Network_678,119F,8,0.23559277151064686,0.0617719500898387,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.18461090600000002,0.17026550899999998,-,-,-
Network_678,120F,6,0.15263667606960835,0.03757573295953278,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.338654189,0.060265509,-,-,-
Network_678,132F,4,0.11790146359267922,0.012088350424298218,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.7871580779999999,0.495265509,-,-,-
Network_678,135F,4,0.09797199153632973,0.018405389436649724,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.14040852,0.9642655090000001,-,-,-
Network_678,74M,6,0.1376352032208576,0.04176910245153958,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.18647007899999998,-0.307734491,0.023159714,0.089004937,0
Network_678,114F,4,0.07355155872412182,0.021685928726913883,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.332008898,1.0662655090000002,-,-,-
Network_678,126F,6,0.16141864903524486,0.035650389308856265,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.298077198,-0.17273449100000002,-,-,-
Network_678,75M,6,0.15422559585935242,0.05194086438598393,4,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.27330043600000004,0.46226550899999996,0.101159714,0.079935622,0
