network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Age (years),Female rank,Male rank,Female reproductive status,Male origin,Female hormonal implant,Female solicitations MOD (*p<0.05),Male solicitations MOD (*p<0.05)
Network_686,Nac,4,0.3829214648343367,0.18686868686868688,2,13,16,0.20512820512820512,,MALE,13.5, ,1.0, ,non-natal, ,0.068,0.149
Network_686,Riv,2,0.18985262291579588,0.017676767676767676,2,13,16,0.20512820512820512,,FEMALE,8.0,5.0, , , ,No,0.04,0.106
Network_686,Foe,2,0.26021989086646957,0.030303030303030304,2,13,16,0.20512820512820512,,FEMALE,11.0,8.0, , , ,Yes,0.068,0.053
Network_686,Tai,2,0.2602198908664696,0.030303030303030304,2,13,16,0.20512820512820512,,FEMALE,10.1,12.0, , , ,Yes,0.062,0.113
Network_686,Yuk,6,0.5031068539276878,0.547979797979798,2,13,16,0.20512820512820512,,FEMALE,15.9,13.0, , , ,No,0.08,0.08199999999999999
Network_686,Bol,5,0.4416617764859551,0.41414141414141414,2,13,16,0.20512820512820512,,MALE,13.6, ,2.0, ,non-natal, ,0.048,0.113
Network_686,Sep,3,0.23661006802597195,0.1919191919191919,2,13,16,0.20512820512820512,,FEMALE,12.0,4.0, , , ,Yes,0.07,0.071
Network_686,Goa,1,0.13937850482268596,0.0,1,13,16,0.20512820512820512,,FEMALE,15.1,11.0, , , ,Yes,0.231,0.09
Network_686,Pot,2,0.21868239663756964,0.047979797979797977,2,13,16,0.20512820512820512,,MALE,26.6, ,3.0, ,natal, ,0.013000000000000001,-0.015
Network_686,Pes,1,0.15876918673924748,0.0,1,13,16,0.20512820512820512,,MALE,6.8, ,4.0, ,natal, ,0.025,-0.004
Network_686,Rok,1,0.1587691867392477,0.0,1,13,16,0.20512820512820512,,MALE,6.5, ,5.0, ,natal, ,0.028999999999999998,0.08199999999999999
Network_686,Voo,1,0.07466880600318955,0.0,1,13,16,0.20512820512820512,,MALE,7.11, ,6.0, ,non-natal, ,0.028999999999999998,0.08199999999999999
Network_686,Bam,2,0.23343799274243762,0.07828282828282827,2,13,16,0.20512820512820512,,MALE,15.1, ,7.0, ,non-natal, ,0.022000000000000002,0.062
