network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX
Network_687,m1,1,9.459271635937252e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,A,3,-2.3105658948739096e-17,0.0022624434389140274,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m2,1,-3.157328546254672e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?m1,1,4.2824409441606595e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m3,1,1.4811792419070023e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?f1,3,5.45974992553973e-17,0.0022624434389140274,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,?m2,1,1.125744495505633e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m4,1,7.603591528648887e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?m3,1,1.8981539263454542e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,B,1,2.540278382730074e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m6,1,-2.875865631264201e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,C,1,1.1177112566384613e-18,0.0,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m7,1,-7.218776023103425e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,D,2,-1.2769637978618935e-16,0.0007541478129713424,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,?m4,1,1.0253701230921123e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m8,1,-5.291053260303722e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?f2,2,1.3090451925787237e-16,0.0007541478129713424,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m9,1,2.5834275692403127e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m10,1,1.56596842085639e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,E,2,3.0537669827012743e-16,0.0007541478129713424,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m11,1,2.6932258310504447e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m12,1,-1.9688072112742019e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,F,1,4.120098908019569e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m13,1,-3.653043476204568e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,G,2,-6.501409937475524e-17,0.0007541478129713424,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,?m5,1,-1.971555206697716e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m14,2,-2.1069516698197903e-17,0.003770739064856712,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,H,3,-2.1656840001194296e-16,0.008295625942684766,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m15,1,7.706906882948804e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?m6,2,1.0739138835456275e-16,0.006033182503770739,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?f3,1,-1.4478818878255085e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m17,1,1.0989030533397982e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,I,2,-2.665165046823466e-16,0.003770739064856712,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,?m7,2,-1.4718528191990028e-16,0.0015082956259426848,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?f4,1,6.067410661224319e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m19,1,4.6501706143681116e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,J,2,-3.483183026704852e-16,0.0015082956259426848,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m20,1,1.7142541191783385e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,K,2,1.593457955607332e-16,0.0007541478129713424,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m21,1,1.6633258878110467e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m22,1,0.2672612419124246,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,L,7,0.707106781186547,0.01583710407239819,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,m23,1,0.26726124191242484,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m24,1,0.2672612419124246,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m25,1,0.2672612419124245,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m26,1,0.2672612419124246,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m27,1,0.2672612419124246,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,?m8,1,0.26726124191242445,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m28,1,-7.02563007770607e-17,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,M,2,-8.326672684688675e-17,0.0007541478129713424,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
Network_687,?m9,1,-1.665334536937735e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,m29,1,-2.4980018054066027e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,MALE
Network_687,N,1,-1.9428902930940242e-16,0.0,1,53,38,0.027576197387518143,0.8783694937541091,FEMALE
