network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,age group
Network_692,FM1,13,0.6647224917099356,0.9025735294117647,2,18,20,0.13071895424836602,0.3230452674897119,MALE,full adult
Network_692,FF1,1,0.1751534170250772,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,FF2,1,0.17515341702507714,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,FF3,1,0.17515341702507717,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,FF4,1,0.17515341702507714,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,FF5,1,0.17515341702507714,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,FF7,1,0.17515341702507717,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,FF8,1,0.1751534170250772,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,full adult
Network_692,YF1,2,0.22554469226265086,0.028799019607843136,2,18,20,0.13071895424836602,0.3230452674897119,FEMALE,young adult
Network_692,YF3,2,0.18822194712679136,0.11764705882352941,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,young adult
Network_692,YF4,3,0.24237301140240416,0.14644607843137253,2,18,20,0.13071895424836602,0.3230452674897119,FEMALE,young adult
Network_692,JF1,3,0.25785205541244666,0.09313725490196077,2,18,20,0.13071895424836602,0.3230452674897119,FEMALE,
Network_692,JF3,2,0.20746078017487296,0.04779411764705882,2,18,20,0.13071895424836602,0.3230452674897119,FEMALE,juvenile
Network_692,JF4,1,0.17515341702507725,0.0,1,18,20,0.13071895424836602,0.3230452674897119,FEMALE,juvenile
Network_692,FM2,3,0.19123928385345398,0.025735294117647054,2,18,20,0.13071895424836602,0.3230452674897119,MALE,full adult
Network_692,FM3,1,0.049596211365685365,0.0,1,18,20,0.13071895424836602,0.3230452674897119,MALE,full adult
Network_692,YM2,1,0.06386493863414235,0.0,1,18,20,0.13071895424836602,0.3230452674897119,MALE,
Network_692,J1,2,0.12260926048867823,0.005514705882352941,2,18,20,0.13071895424836602,0.3230452674897119,MALE,
