network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,season,age class,group,focal hours per sampling period,total focal hours (5 sampling periods),male rank in group,male dominance index,no. copulations
Network_697,chao,2,0.34628521468216006,0.5333333333333333,1,11,11,0.2,0.39795918367346933,MALE,winter,adult,X,70.0,350.0,1.0,0.82,4.0
Network_697,josefa,2,0.25422236303629225,0.4666666666666667,1,11,11,0.2,0.39795918367346933,FEMALE,winter,adult,X,0.0,0.0, , ,6.0
Network_697,tamara,3,0.4959888067197954,0.6,2,11,11,0.2,0.39795918367346933,FEMALE,,,,,,,,
Network_697,gatti,3,0.2044759736829509,0.37777777777777777,1,11,11,0.2,0.39795918367346933,MALE,winter,adult,X,70.0,350.0,2.0,0.8,2.0
Network_697,ana,1,0.09438276754419081,0.0,1,11,11,0.2,0.39795918367346933,FEMALE,,,,,,,,
Network_697,orejas,1,0.09438276754419059,0.0,1,11,11,0.2,0.39795918367346933,FEMALE,winter,adult,G,0.0,0.0, , ,2.0
Network_697,jose,2,0.36412598961116793,0.2111111111111111,2,11,11,0.2,0.39795918367346933,MALE,winter,adult,G,70.0,350.0,2.0,0.71,1.0
Network_697,monga,2,0.2928735905833059,0.1,2,11,11,0.2,0.39795918367346933,FEMALE,,,,,,,,
Network_697,marley,2,0.3641259896111684,0.2111111111111111,2,11,11,0.2,0.39795918367346933,MALE,winter,adult,G,70.0,350.0,1.0,0.73,2.0
Network_697,lola,2,0.29287359058330553,0.1,2,11,11,0.2,0.39795918367346933,FEMALE,winter,adult,G,0.0,0.0, , ,2.0
Network_697,quique,2,0.2703713255105178,0.044444444444444446,2,11,11,0.2,0.39795918367346933,MALE,winter,adult,G,70.0,350.0,3.0,0.66,1.0
