network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,Group,T,M,N,P,SCI,SCIw,ave_agg,male_age,ave_ramting,std_T,std_M,std_N,std_P,std_SCI,std_SCIw,std_ave_agg,std_male_age,std_ave_remating
Network_711,12M,8,0.2720787468265361,0.054882298837084134,5,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,1.0,7.0,3.857142857,0.037037037,6.06185567,9.849644387,7.444444444,6.0,1.857142857,0.212765957,1.044776119,0.8792965629999999,0.29082935600000004,1.032793305,0.7409194179999999,-0.36286823700000004,0.948683298,-4.881468762
Network_711,108F,6,0.2376960869518608,0.028607807966927714,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,63M,6,0.2144843950151856,0.026392239396313397,5,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,3.0,8.0,5.375,0.069767442,7.088607595,7.96297906,21.44444444,6.0,2.25,0.6122448979999999,1.081081081,1.199304005,0.538690928,1.098348692,0.891284693,0.320251195,0.948683298,-5.428540491000001
Network_711,6M,9,0.2626070138452854,0.11583841668483454,5,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,5.0,9.0,3.0,0.185185185,4.858611825,3.120981074,22.33333333,5.0,3.666666667,1.428571429,1.40625,0.8904793879999999,1.3527666669999998,0.8818282190000001,0.6931605829999999,0.756412471,0.948683298,-3.518627884
Network_711,B23M,8,0.250950442645519,0.0707667212831535,5,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,9.0,8.0,3.125,0.36,5.177195686,8.422389837,40.33333333,1.0,1.25,2.5714285709999998,1.25,0.927582695,2.6297784,0.939650545,0.73861179,2.280527151,-0.948683298,-6.062490196000001
Network_711,B3M,11,0.3371675515580457,0.16508043076671483,5,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,7.0,11.0,3.0909090910000003,0.20588235300000002,5.1447661469999995,3.744421069,1.0,1.0,3.1818181819999998,2.0,1.71875,0.917463611,1.503958236,0.9337646490000001,0.733985185,-1.049945669,-0.948683298,-4.028995245
Network_711,C8M,8,0.26231280260948375,0.06478225241872164,5,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,7.0,8.0,3.375,0.25925925899999996,5.376,8.210526316000001,8.555555556,1.0,1.25,2.0,1.25,1.001789311,1.893873334,0.975733126,0.7669744829999999,-0.410193828,-0.948683298,-6.062490196000001
Network_711,25F,5,0.19871716121403807,0.019961905602918106,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,30F,6,0.22708558413769162,0.03939993826794731,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,71M,5,0.14307989431136528,0.03577214676244532,4,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,1.0,5.0,3.2,0.0625,5.072463768,6.087408948999999,5.0,5.0,1.4,0.28571428600000004,0.78125,0.94984468,0.45655875,0.9206419140000001,0.723670066,-0.7112535179999999,0.948683298,-5.904595294
Network_711,B9M,1,0.03515454815609385,0.0,1,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,0.0,1.0,4.0,0.0,7.0,12.0,12.77777778,1.0,1.0,0.0,0.15625,1.18730585,0.0,1.270485841,0.998664691,-0.052685446,-0.948683298,-6.325648366
Network_711,46F,7,0.236576249261458,0.12655539990169656,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,C9M,7,0.20825982833375234,0.08553311289835168,4,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,4.0,7.0,2.857142857,0.2,5.166959578,6.055932606,8.0,1.0,1.714285714,1.142857143,1.09375,0.8480756070000001,1.460988,0.937792712,0.737151442,-0.457234404,-0.948683298,-5.57376788
Network_711,52F,7,0.2508815115000239,0.054646102395794545,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,58F,3,0.12810369590428697,0.004058164484431766,3,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,60F,4,0.1605016967362982,0.01196346856721399,4,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,62F,3,0.08949858105261967,0.00830616243659722,3,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,A27F,7,0.2686428966463852,0.045534319493826574,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,B33F,4,0.1653942077300326,0.0113751063793874,4,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,B34F,5,0.14452409067263303,0.11399314115508336,4,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
Network_711,3906M,1,0.021475862945361492,0.0,1,22,64,0.27705627705627706,0.13216189638217485,MALE,13.0,0.0,3.0,3.333333333,0.0,7.0,8.158273381,5.777777778,6.0,3.0,0.0,0.447761194,0.7598859179999999,0.0,1.192630364,0.855585519,-0.510776486,0.948683298,-3.9993564139999997
Network_711,B42F,7,0.2508815115000237,0.054646102395794545,5,22,64,0.27705627705627706,0.13216189638217485,FEMALE,,,,,,,,,,,,,,,,,,,
