network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,age class,body mass (kg),hind foot length (mm),tooth wear score (0-5),testis length (mm)
Network_719,M2M,1,0.11689958062025793,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,8.8,127.3,2.0,31.8
Network_719,F1,5,0.3250575836718681,0.4615384615384615,2,14,15,0.16483516483516483,0.3507560815253123,FEMALE,adult, , , , 
Network_719,M1M,2,0.27658737743927686,0.21794871794871795,2,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,5.9,124.7,2.0,32.9
Network_719,14M,1,0.1168995806202579,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,9.9,136.3,1.0,35.2
Network_719,30M,2,0.2765873774392775,0.21794871794871798,2,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,9.2,130.4,4.0,33.8
Network_719,UNM1M,1,0.11689958062025788,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,,,,,
Network_719,15M,2,0.31937559363803875,0.08333333333333333,2,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,5.5,128.3,0.0,33.4
Network_719,F2,5,0.44403691698855846,0.4038461538461538,2,14,15,0.16483516483516483,0.3507560815253123,FEMALE,adult, , , , 
Network_719,17M,1,0.15968779681901968,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,7.9,125.6,1.0,38.1
Network_719,10M,2,0.3193755936380388,0.08333333333333333,2,14,15,0.16483516483516483,0.3507560815253123,MALE,adult,6.9,124.9,4.0,33.0
Network_719,UNM2M,1,0.15968779681901976,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,,,,,
Network_719,F3,5,0.444036916988557,0.40384615384615385,2,14,15,0.16483516483516483,0.3507560815253123,FEMALE,adult, , , , 
Network_719,UNM3M,1,0.1596877968190189,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,,,,,
Network_719,UNM4M,1,0.15968779681901896,0.0,1,14,15,0.16483516483516483,0.3507560815253123,MALE,,,,,
