network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,no. males that visted female,male snout-vent length rank (1=largest),male mass rank (1=heaviest),male frequency rank (1=lowest),male SPL rank
Network_726,ML,1,2.3316141441915927e-16,0.0,1,22,12,0.05194805194805195,,MALE, ,1,2,2,1
Network_726,1F,1,-2.4445660550120944e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,2.0, , , , 
Network_726,3HL,1,-2.4996135302607578e-17,0.0,1,22,12,0.05194805194805195,,MALE, ,1,2,1,1
Network_726,2F,1,-1.4074620095236345e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,2.0, , , , 
Network_726,BG,2,-0.19083119969142434,0.004761904761904762,1,22,12,0.05194805194805195,,MALE, ,"2, 2","2, 1","1, 1","1, 2"
Network_726,3F,1,-0.13493803536377058,0.0,1,22,12,0.05194805194805195,,FEMALE,2.0, , , , 
Network_726,BBE,1,-3.444262417725643e-17,0.0,1,22,12,0.05194805194805195,,MALE, ,1,1,1,1
Network_726,4F,1,-6.960273722649065e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,2.0, , , , 
Network_726,5F,1,-0.13493803536377044,0.0,1,22,12,0.05194805194805195,,FEMALE,3.0, , , , 
Network_726,ZZ,1,1.4503140488118812e-17,0.0,1,22,12,0.05194805194805195,,MALE, ,1,1,2,2
Network_726,6F,1,1.2643618856610546e-16,0.0,1,22,12,0.05194805194805195,,FEMALE,3.0, , , , 
Network_726,HD,1,3.603186284431467e-18,0.0,1,22,12,0.05194805194805195,,MALE, ,1,1,1,1
Network_726,7F,1,-8.844325932695623e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,3.0, , , , 
Network_726,SC,1,2.699071013914059e-17,0.0,1,22,12,0.05194805194805195,,MALE, ,3,3,3,3
Network_726,8F,1,-3.141441899930243e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,3.0, , , , 
Network_726,BK,1,-8.142620123265327e-17,0.0,1,22,12,0.05194805194805195,,MALE, ,2,2,2,2
Network_726,9F,1,5.0504486926015765e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,3.0, , , , 
Network_726,6L,2,0.6808696301233678,0.004761904761904762,1,22,12,0.05194805194805195,,MALE, ,"1, 1","2, 3","1, 1","1, 2"
Network_726,10F,1,0.48144753256420997,0.0,1,22,12,0.05194805194805195,,FEMALE,3.0, , , , 
Network_726,CD,1,-8.683389747595165e-17,0.0,1,22,12,0.05194805194805195,,MALE, ,3,3,2.5,4
Network_726,11F,1,3.9650249741521816e-17,0.0,1,22,12,0.05194805194805195,,FEMALE,4.0, , , , 
Network_726,12F,1,0.48144753256420986,0.0,1,22,12,0.05194805194805195,,FEMALE,6.0, , , , 
