network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,David's Score,David's Score rank,Glicko rating,Glicko rank,I&SI rank
Network_728,ev,11,0.42328765737164625,0.2163636363636363,5,12,35,0.5303030303030303,,25.2,2.0,2590.0,2.0,2.4
Network_728,gm,11,0.42328765737164625,0.2163636363636363,5,12,35,0.5303030303030303,,32.1,1.0,2659.0,1.0,1.0
Network_728,ak,8,0.35814670034556,0.0512121212121212,5,12,35,0.5303030303030303,,9.3,3.0,2293.0,4.0,4.0
Network_728,dw,7,0.3136957125064499,0.04454545454545455,5,12,35,0.5303030303030303,,-6.4,7.0,2066.0,7.0,8.4
Network_728,kz,4,0.20892309790955677,0.004545454545454545,4,12,35,0.5303030303030303,,-3.4,5.0,2108.0,6.0,6.4
Network_728,gv,2,0.12518208032318937,0.0,2,12,35,0.5303030303030303,,-5.1,6.0,2032.0,9.0,6.3
Network_728,ip,3,0.17156789053539734,0.0,3,12,35,0.5303030303030303,,-20.1,12.0,1898.0,12.0,11.3
Network_728,gx,3,0.17814080499819113,0.0,3,12,35,0.5303030303030303,,8.1,4.0,2305.0,3.0,2.6
Network_728,iz,6,0.2947881720207701,0.012727272727272726,5,12,35,0.5303030303030303,,-9.7,9.0,2060.0,8.0,8.6
Network_728,ps,5,0.2526239886606329,0.010606060606060605,4,12,35,0.5303030303030303,,-11.7,11.0,2028.0,10.0,11.4
Network_728,mp,5,0.26811659000126603,0.0036363636363636364,5,12,35,0.5303030303030303,,-9.9,10.0,2016.0,11.0,5.9
Network_728,oz,5,0.2681165900012661,0.0036363636363636364,5,12,35,0.5303030303030303,,-8.5,8.0,2112.0,5.0,9.9
