network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,fur_mark,sex,stage_current_year,Node_All days_detected,btw_spat,btw_soc
Network_745,R478,32,0.15452327402355245,0.015593942543264244,19,59,695,0.40619520748100524,0.19474833813597162,battery,F,P,13,52,133
Network_745,R469,32,0.16505941149124997,0.005458486669386434,19,59,695,0.40619520748100524,0.19474833813597162,Aquaman,F,P,14,18,22
Network_745,R316,23,0.12895378332580842,0.001438458251837044,19,59,695,0.40619520748100524,0.19474833813597162,bowtie,F,A,5,5,343
Network_745,R463,54,0.21778521724992828,0.06379632321208646,19,59,695,0.40619520748100524,0.19474833813597162,Capital_S,F,P,49,211,12
Network_745,R091_R582,41,0.1865474762215747,0.03079233264119435,19,59,695,0.40619520748100524,0.19474833813597162,Capital_Z,F,A,43,102,6
Network_745,R441,13,0.07967440815226055,3.5585922209174056e-05,13,59,695,0.40619520748100524,0.19474833813597162,DG,M,P,1,0,70
Network_745,R456,32,0.15754890019102646,0.01450778132344063,19,59,695,0.40619520748100524,0.19474833813597162,does_not_equal,F,P,23,48,35
Network_745,R435,24,0.13163417055724647,0.0021094149247015133,19,59,695,0.40619520748100524,0.19474833813597162,double_trouble,M,P,12,7,13
Network_745,R306,35,0.17565297653678263,0.009161253249808612,19,59,695,0.40619520748100524,0.19474833813597162,eyeball,F,A,14,30,80
Network_745,R331,20,0.11070109534933807,0.0007567120316666597,18,59,695,0.40619520748100524,0.19474833813597162,flag,M,A,8,3,0
Network_745,R453,28,0.15109101609340403,0.00295928013705409,19,59,695,0.40619520748100524,0.19474833813597162,Flash,F,P,11,10,26
Network_745,R444,15,0.08231605298103,0.0011729890162384443,13,59,695,0.40619520748100524,0.19474833813597162,football_concussion,M,P,2,4,290
Network_745,R075_L114_L277,33,0.16901596528381985,0.006848483261604711,19,59,695,0.40619520748100524,0.19474833813597162,ghost,F,A,13,23,9
Network_745,R297,26,0.13447751683444883,0.003799511024600411,18,59,695,0.40619520748100524,0.19474833813597162,jelly_fish,F,A,3,13,9
Network_745,R440,29,0.15237493620084516,0.004065251958036055,19,59,695,0.40619520748100524,0.19474833813597162,lambda,F,P,11,13,66
Network_745,R309,55,0.2213409317950824,0.06663304755516289,19,59,695,0.40619520748100524,0.19474833813597162,leaning_tower,F,A,54,220,3
Network_745,R150_L230,35,0.17224382407416872,0.010310837614051943,19,59,695,0.40619520748100524,0.19474833813597162,line_over_batgirl,F,A,15,34,34
Network_745,R392_L428,21,0.11639998342758097,0.0013275896166137944,18,59,695,0.40619520748100524,0.19474833813597162,minus_sign,M,A,10,4,73
Network_745,R475,54,0.21997710747667162,0.060064903055983894,19,59,695,0.40619520748100524,0.19474833813597162,open_circle,F,P,51,199,181
Network_745,R473,25,0.1340491152554987,0.002853720492491543,19,59,695,0.40619520748100524,0.19474833813597162,opera,M,P,9,9,0
Network_745,R296,56,0.22191011917464462,0.08604220262674989,19,59,695,0.40619520748100524,0.19474833813597162,pi,F,A,57,284,49
Network_745,R432,42,0.18858350527492265,0.024926360348315538,19,59,695,0.40619520748100524,0.19474833813597162,Q_tip,M,P,45,82,64
Network_745,R307,15,0.09073695677450196,0.000579629753858429,14,59,695,0.40619520748100524,0.19474833813597162,road,F,A,4,2,34
Network_745,R499,19,0.11219588136158694,0.00033350396326802857,18,59,695,0.40619520748100524,0.19474833813597162,sailor_moon,M,A,4,1,378
Network_745,R496,38,0.17361597861336744,0.025429117634030544,19,59,695,0.40619520748100524,0.19474833813597162,shock,M,P,43,84,44
Network_745,R455,48,0.20041988244354517,0.043627175406621345,19,59,695,0.40619520748100524,0.19474833813597162,smiley,F,P,42,144,65
Network_745,R429,26,0.13477971578667192,0.006185886714356187,19,59,695,0.40619520748100524,0.19474833813597162,snail,M,P,8,20,58
Network_745,R252_L158,26,0.13384393018256305,0.007618666290768242,19,59,695,0.40619520748100524,0.19474833813597162,taurus,F,A,11,25,1
Network_745,R393,29,0.14049318062017183,0.011675650710644785,19,59,695,0.40619520748100524,0.19474833813597162,tweezers,F,A,18,39,0
Network_745,R080_L289,51,0.21501254897420655,0.046059859680099624,19,59,695,0.40619520748100524,0.19474833813597162,umbrella,F,A,52,152,219
Network_745,R462_R577,23,0.11884665601565227,0.003296192531202695,18,59,695,0.40619520748100524,0.19474833813597162,volcano,M,P,6,11,216
Network_745,R447,26,0.14474165249822382,0.0014025164802808816,19,59,695,0.40619520748100524,0.19474833813597162,windy_road,M,P,16,5,164
Network_745,R438,45,0.20229550617663725,0.02734665832838008,19,59,695,0.40619520748100524,0.19474833813597162,wine_glass,F,P,36,90,88
