time,infector,infectee,run_id
0.0,,18f,1
0.11630606153854194,18f,2f,1
0.14707234787470344,2f,1m,1
0.1603072893367676,2f,21m,1
0.8222137212795112,2f,23f,1
0.0,,19m,2
0.5259020429154304,19m,17f,2
0.0,,9f,3
2.511290574230653,9f,11m,3
3.9509831069663894,11m,25m,3
4.3111095374992665,11m,8f,3
6.173175474162488,8f,23f,3
6.328208035863207,23f,2f,3
7.162708828047993,2f,1m,3
7.451370826691777,1m,24f,3
7.486434125433153,1m,6f,3
7.775159680493392,6f,17f,3
7.782785922237695,17f,20f,3
7.801175779251408,17f,19m,3
8.107536919123305,6f,16m,3
9.114468706290014,1m,3f,3
0.0,,12m,4
0.0502647883758447,12m,10m,4
0.0,,18f,5
0.7122832217538527,18f,22f,5
1.694151911137966,18f,2f,5
2.647481919461088,2f,21m,5
2.7748204369734886,2f,1m,5
2.9946057607749723,1m,3f,5
3.136276082082091,1m,24f,5
3.9203082363411803,24f,25m,5
4.354675754509165,1m,6f,5
4.698205181829026,6f,17f,5
4.731738087425985,6f,20f,5
5.224302635583961,25m,11m,5
8.56481685577495,11m,9f,5
8.984586838107473,6f,16m,5
9.239326936252198,16m,10m,5
10.554722958994082,9f,7m,5
10.76012012534884,10m,12m,5
