network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,length_mm,latency_sec,distance_swam_m
Network_989,34,5,-0.18388520285589466,0.0,5,48,119,0.10549645390070922,0.8063026402891443,24,220,43.54370443
Network_989,60,5,-0.18388520285589469,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,90,31.71790267
Network_989,7,5,-0.18388520285589469,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,48,60.88794821
Network_989,19,5,-0.18388520285589463,0.0,5,48,119,0.10549645390070922,0.8063026402891443,14,56,29.34002547
Network_989,71,5,-0.1838852028558947,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,158,54.85010257
Network_989,46,5,-0.18388520285589466,0.0,5,48,119,0.10549645390070922,0.8063026402891443,21,57,57.90588714
Network_989,57,5,0.09390636887755867,0.0,5,48,119,0.10549645390070922,0.8063026402891443,25,142,32.48607851
Network_989,32,5,0.09390636887755868,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,90,69.13966015
Network_989,20,5,0.0939063688775587,0.0,5,48,119,0.10549645390070922,0.8063026402891443,16,81,62.98360881
Network_989,84,5,0.09390636887755867,0.0,5,48,119,0.10549645390070922,0.8063026402891443,21,46,106.3014168
Network_989,48,5,0.09390636887755864,0.0,5,48,119,0.10549645390070922,0.8063026402891443,25,49,48.86788732
Network_989,70,5,0.09390636887755861,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,121,115.4836019
Network_989,95,5,-0.03987730281193524,0.0,5,48,119,0.10549645390070922,0.8063026402891443,21,33,27.59454924
Network_989,43,5,-0.03987730281193529,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,152,111.9959565
Network_989,33,5,-0.03987730281193525,0.0,5,48,119,0.10549645390070922,0.8063026402891443,24,162,60.61066941
Network_989,58,5,-0.039877302811935245,0.0,5,48,119,0.10549645390070922,0.8063026402891443,23,75,47.01148173
Network_989,67,5,-0.03987730281193528,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,355,35.20240888
Network_989,83,5,-0.039877302811935286,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,139,72.79482046
Network_989,82,5,0.2455231330519851,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,100,38.53356792
Network_989,69,5,0.24552313305198506,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,89,59.01313048
Network_989,96,5,0.24552313305198498,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,164,21.77262009
Network_989,12,5,0.24552313305198503,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,71,34.0211
Network_989,44,5,0.24552313305198503,0.0,5,48,119,0.10549645390070922,0.8063026402891443,25,22,48.45023054
Network_989,56,5,0.24552313305198506,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,46,25.60467395
Network_989,10,5,0.1349307093429583,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,61,38.97386341
Network_989,23,5,0.13493070934295834,0.0,5,48,119,0.10549645390070922,0.8063026402891443,24,66,38.30755503
Network_989,59,5,0.1349307093429583,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,26,55.42225181
Network_989,79,5,0.13493070934295828,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,50,39.55197648
Network_989,93,5,0.1349307093429583,0.0,5,48,119,0.10549645390070922,0.8063026402891443,25,19,51.06229432
Network_989,68,5,0.1349307093429583,0.0,5,48,119,0.10549645390070922,0.8063026402891443,23,101,56.06583582
Network_989,9,5,0.10275082460939758,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,427,28.32981084
Network_989,72,5,0.10275082460939755,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,62,54.76315481
Network_989,21,5,0.10275082460939755,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,237,96.78748008
Network_989,91,5,0.10275082460939754,0.0,5,48,119,0.10549645390070922,0.8063026402891443,24,238,43.34423373
Network_989,35,5,0.1027508246093975,0.0,5,48,119,0.10549645390070922,0.8063026402891443,21,51,73.04507943
Network_989,80,5,0.10275082460939752,0.0,5,48,119,0.10549645390070922,0.8063026402891443,22,31,49.89194649
Network_989,31,5,0.18275299257911604,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,96,25.91385909
Network_989,92,5,0.18275299257911604,0.0,5,48,119,0.10549645390070922,0.8063026402891443,19,67,37.38090668
Network_989,11,5,0.18275299257911604,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,41,45.480267
Network_989,47,5,0.18275299257911604,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,244,19.12105411
Network_989,81,5,0.18275299257911604,0.0,5,48,119,0.10549645390070922,0.8063026402891443,20,272,32.21212206
Network_989,22,5,0.18275299257911604,0.0,5,48,119,0.10549645390070922,0.8063026402891443,27,801,76.80751983
Network_989,94,5,-4.555091634397488e-18,0.00023126734505087883,4,48,119,0.10549645390070922,0.8063026402891443,21,35,24.08588369
Network_989,36,4,2.4988286628237613e-18,0.0,4,48,119,0.10549645390070922,0.8063026402891443,19,145,15.6671
Network_989,24,5,1.5097752345835898e-17,0.00023126734505087883,4,48,119,0.10549645390070922,0.8063026402891443,21,78,39.41364623
Network_989,55,5,-6.6151845246713875e-18,0.00023126734505087883,4,48,119,0.10549645390070922,0.8063026402891443,23,63,27.51154937
Network_989,8,5,2.3168466363563946e-18,0.00023126734505087883,4,48,119,0.10549645390070922,0.8063026402891443,25,25,50.96991944
Network_989,45,4,8.515433215583003e-18,0.0,4,48,119,0.10549645390070922,0.8063026402891443,21,45,30.61234457
