network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant621,94,0.08275190498304091,0.0015225089279343467,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,621.0,146.0,64.0,0.0,F,F,F,F,75.4545,0.181818,1.63636,125.72726999999999,228.0,225.45455,1.273
Network_98,Ant149,87,0.07638175529055193,0.00131108680578746,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,149.0,133.222,50.0,0.0,F,F, , ,6.72727,1.27273,0.545455,48.545455,166.63636,315.72727000000003,0.0
Network_98,Ant118,121,0.10396701028730518,0.00395899624865043,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,118.0,197.773,169.0,0.0,C,C, , ,36.1818,1.72727,0.909091,146.81818,205.09091,210.27272999999997,1.182
Network_98,Ant540,101,0.08857308114485611,0.0018759190315654044,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,540.0,175.96,40.0,0.0,N,N,N,N,399.545,0.454545,0.0909091,555.45455,139.72727,67.363636,13.45
Network_98,Ant227,129,0.10944849351894312,0.004992865213921928,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,227.0,185.607,162.0,0.0,C,C,C,C,154.545,0.909091,1.09091,366.54545,434.27272999999997,402.90909,5.545
Network_98,Ant117,109,0.09210668407095851,0.003685409092850619,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,117.0,142.622,64.0,18.0,F,F,F,F,32.0,87.6364,1.72727,100.90909,216.36364,353.90909,1.182
Network_98,Ant111,95,0.0847863268717897,0.0016848515765867,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,111.0,155.27100000000002,50.0,0.0,C,C,C,F,14.3636,0.0,0.363636,110.72726999999999,114.45455,87.545455,1.364
Network_98,Ant221,65,0.05547673532589724,0.0006277964117042222,61,141,6731,0.6819655521783181,0.27677337351008513,21.0,221.0,138.08,50.0,0.0,F,F, , ,24.7273,2.0,0.636364,53.909091000000004,124.0,237.18182000000002,0.3636
Network_98,Ant112,102,0.08618260115571336,0.003162767616803875,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,112.0,136.499,5.0,0.0,C,F,F,F,208.81799999999998,1.09091,1.0,153.27273,220.63636,221.27272999999997,1.7269999999999999
Network_98,Ant194,112,0.09661242822261826,0.0032804229461253407,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,194.0,159.327,71.0,0.0,C,C,F,F,48.0,1.36364,0.272727,147.54545,254.09091,267.72727000000003,0.8182
Network_98,Ant196,108,0.09150358394662914,0.0033524669386358263,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,196.0,150.987,5.0,45.0,F,F,F,F,8.45455,70.0909,1.0,68.727273,199.54545,722.18182,0.09091
Network_98,Ant191,111,0.09634759663313314,0.002717922405847389,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,191.0,167.296,40.0,0.0,N,N,N,N,415.727,0.0,3.45455,570.72727,161.0,65.090909,19.18
Network_98,Ant190,96,0.0844018094275541,0.0018274520121817454,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,190.0,199.489,190.0,0.0,F,C,F,C,88.7273,1.27273,0.181818,115.27273000000001,192.27273,245.36364,0.8182
Network_98,Ant198,110,0.09264888171994805,0.004125064928060991,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,198.0,134.852,113.0,91.0,F,F, , ,11.5455,27.5455,0.636364,48.454545,126.27273000000001,607.45455,0.5455
Network_98,Ant492,111,0.09638604267142337,0.0026738858982948677,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,492.0,167.43099999999998,5.0,0.0,N,N, , ,470.909,0.363636,1.36364,584.63636,177.72727,63.545455000000004,11.73
Network_98,Ant324,114,0.09867678736343208,0.002983128693169117,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,324.0,220.71900000000002,40.0,0.0,C,N,N,N,82.0,0.636364,1.0,330.0,271.90909,195.0,5.636
Network_98,Ant329,71,0.06160114697453085,0.00046789249590527363,64,141,6731,0.6819655521783181,0.27677337351008513,21.0,329.0,177.924,57.0,0.0,N,N,N,N,487.545,0.0909091,0.909091,521.72727,87.454545,41.181818,14.64
Network_98,Ant650,74,0.06169626018619453,0.0014567204520123125,63,141,6731,0.6819655521783181,0.27677337351008513,21.0,650.0,138.611,64.0,0.0,F,F,F,F,55.6364,5.72727,38.0909,90.090909,196.27273,277.27272999999997,2.0909999999999997
Network_98,Ant556,104,0.09077200731606454,0.0021693982977705026,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,556.0,133.6,40.0,0.0,N,N,F,F,430.273,1.63636,2.90909,507.45455,118.0,45.454545,15.45
Network_98,Ant252,91,0.07702671620051292,0.0024977271015808986,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,252.0,130.3,64.0,38.0,F,F,F,F,47.1818,236.81799999999998,5.18182,129.90909,237.36364,505.81818,3.727
Network_98,Ant250,50,0.045229479179943015,0.00061883457685432,49,141,6731,0.6819655521783181,0.27677337351008513,21.0,250.0,172.93900000000002,5.0,0.0,C,C,C,C,29.2727,1.0,0.181818,165.90909,200.09091,172.18182,3.909
